Instrument_nr;Instrument_name;Instrument_description
1;Adolescent Social Connections and Coping during COVID-19 Questionnaire - Social connections and Prosocial;Questionnaire about children's social connections and prosocial behavior during the COVID-19 pandemic
2;Adult Temperament Questionnaire;The Adult Temperament Questionnaire consists of 77 items and 4 subscales. Within L-CID, 35 items from the Effortful control subscale (consisting of Attentional control, Activation control and Inhibitory control) and the Orienting sensitivity subscale (consisting of Neutral Perceptual Sensitivity, Affective Perceptual Sensitivity, and Associative Sensitivity) are used. When the parent indicated to have a partner, the questions were asked for the partner as well. 
3;Alabama parenting questionnaire;The Alabama Parenting Questionnaire measures five dimensions of parenting that are relevant to the etiology and treatment of child externalizing problems: (1) positive involvement with children, (2) supervision and monitoring, (3) use of positive discipline techniques, (4) consistency in the use of such discipline and (5) use of corporal punishment.
4;Attachment Script Assessment;Task in which the participant gets a list of words with which they have to create a coherent story
5;Behavioral Inhibition and Activation System;The Behavioral Inhibition and Activation System consists of 24 items with 3 BAS-related subscales (BAS Drive, BAS Fun seeking, BAS Reward Responsiveness) and one BIS-related subscale.
6;Brief Symptom Inventory;The Brief Symptom Inventory (BSI) consists of 53 items. Within L-CID, 21 items are used on Interpersonal sensitivity, Depression, Anxiety and Hostility
7;Buitenschoolse activiteiten (out of school activities);The Out of school activities questionnaire consists of items about out-of-school activities of the children, e.g, dance, music, sports. It asks about type, frequency and duration
8;Cheating - Ball throwing;Task where the child gets the opportunity to cheat while throwing a ball
9;Cheating - Dog task;Task where the child gets the opportunity to cheat
10;Cheating - Word puzzle;Task where the child gets the opportunity to cheat when making a word puzzle
11;Children's Behavior Questionnaire - Discomfort, Fear, Perceptual sensitivity;The Children’s Behavior Questionnaire consists of 195 items and 18 subscales. 12 items from the Discomfort subscale (how quickly is the child uncomfortable), 12 from the Fear subscale (how fearful is the child) and 12 from the Perceptual Sensitivity (how sensitive to external stimuli is the child) subscale are used
12;Children's Behavior Questionnaire - Effortful control;The Children’s Behavior Questionnaire consists of 18 subscales. The Effortful Control subscale consists of items about Attentional Focusing and Inhibitory control of the child
13;CITO scores of the children;CITO scores of the children
14;Cognitive Emotion Regulation Questoinnaire (short form);The Cognitive Emotion Regulation Questionnaire short form consists of a selection of 18 items from the 36 items in the full CERQ. The CERQ consists of 9 subscales: Self-blame, Acceptance, Rumination, Positive refocusing, Planning, Positive reappraisal, Putting into perspective, Catastrophizing, Other-blame. Within L-CID, all 18 items of the short form are used. 
15;Competentiebelevingsschaal voor Adolescenten;Social wellbeing questionnaire where the child judges their own social competence in terms of social acceptance, tight friendships and feelings of self worth
16;Confusion, Hubbub and Order Scale;The Confusion, Hubbub and Order Scale consists of items about chaos within the house (e.g., the house is a mess, noise levels, busy lives, etc.)
17;Covid Open questions;Open questions about the COVID-19 situation
18;Delay Discounting - Candy, real time;Delay gratification task where the child will either receive candy now or more candy later
19;Delay Discounting - Marshmallow task;Delay gratification task where the child will either receive candy now or more candy later
20;Delay Discounting - Money, hypothetical;Delay gratification task where the child will either receive money now or more money later
21;Demographic family characteristics;Demographic characteristics, e.g., age, gender, socio-economic status, etc.
22;Dictator Game;Task where the child can determine who receives how much money
23;DNA sample - Genetic markers;Genetic markers from DNA
24;DNA sample - Zygosity;DNA sample to determine whether the twins are mono- or dizygotic
25;Donating Task - Money;Task where the child can donate money to charities
26;Donating Task - Stickers;Task where the child can donate stickers to another child
27;Dutch Reactive and Proactive Agression Questionnaire;The Dutch Reactive Proactive Aggression Questionnaire consists of 23 items about Proactive and Reactive aggressive behavior of the child
28;Early Adolescent Temperament Questionnaire - Discomfort, Fear, Perceptual sensitivity (these are actually items from the TMCQ);The Temperament in Middle Childhood Questionnaire consists of 42 items. Within L-CID, 27 items are used from the Discomfort (how quickly is the child uncomfortable), Fear (how fearful is the child) and Perceptual Sensitivity (how sensitive to external stimuli is the child) subscales.
29;Early Adolescent Temperament Questionnaire - Effortful control;The Early Adolescent Temperament Questionnaire consists of 36 items divided over 4 subscales: Discomfort, Perceptual Sensitivity, Fear, and Effortful Control. The Effortful control subscale consists of items about Attentional Control and Inhibitory Control of the child
30;E-diary - Daily structure and activities of the children;E-diary through the Upinion smartphone app about among other, activities, mood, saliva collection and sleep
31;EEG during the Face Processing Task;EEG during the Face Processing Task
32;EEG during the Social Network Agression Task - Early Childhood;EEG during the task where the child can respond aggressively in response to different types of peers
33;EEG during the Stop-Signal Task;EEG during the Stop-Signal Task
34;EEG rest measurement;EEG measured during rest
35;Emotion Recognition Task;Task to measure emotion recognition
36;Ethnicity;Ethnicity of the participants
37;Faces paradigm;Passive viewing task in which respondents watch positive, neutral and negative child facial expressions
38;Family Assessment Device;The Family Assessment Device consists of questions about the functioning of the family. Within L-CID, only the 12 items from the General Functioning subscale are used. 
39;Family Interaction Task;Observation of a parent-child interaction in which the parent and the child have to discuss a predetermined set of subjects
40;Fear of Negative Evaluation;Questionnaire about the child's worries about the opinion of others
41;Feeling and Thinking Questionnaire;The Feeling and Thinking Questionnaire is aimed to measure Affective and Cognitive empathy in 8 and 9 year old children
42;Five-minute speech;Five minute speech sample 
43;fMRI during the Prosocial Cyberball Task;fMRI during the task where the child can help a socially-excluded child
44;fMRI during the Selfconcept Task;fMRI during the task about the child's self-concept
45;fMRI during the Social Network Agression Task;fMRI during the task where the child can respond aggressively in response to different types of peers
46;Hair samples - Cortisol & Pubertal hormones;Hair sample to measure several hormones
47;Hairsamples;Hair sample
48;Headcircumference;Circumference of the head
49;Highly Sensitive Child Scale;The Highly Sensitive Child Scale consists of 27 items about the sensitivity of the child (e.g. to sounds, scents, social interaction, etc.). Within L-CID, 13 items are used.
50;Individual differences and preferences;The Individual differences and preferences questionnaire investigates sources of individual differences between the twins with items on differences between the children, e.g., in terms of daily interaction, preferences, relationship with the twins, and hobbies
51;Interpersonal Reactivity Index;The Interpersonal Reactivity Index is aimed to measure empathy and consists of 28 items from 4 different subscales. Within L-CID, the 14 items from the empathic concern scale and the perspective-taking scale are used. 
52;Inventory of Callous-Unemotional Traits;Questionnaire about Callous and Unemotional traits of the child
53;Investment Models Scale;The Investment Models Scale consists of 6 items about marital satisfaction, all of them being used in L-CID. 
54;IQ - WISC;IQ as measured through the Wechsler Intelligence Scale for Children
55;IQ - WPPSI;IQ as measured through the Wechsler Preschool and Primary Scale of Intelligence
56;Language Environment Analysis;Device that records sounds from the environment
57;Length;Length in cm of the child
58;Life Events;The Life events questionnaire consists of 21 items about important events that may (not) have happened to respondents (e.g., illness, death, financial burden, moving, etc.)
59;MRI - Highres, 3DT1, DTI, restingstate;MRI anatomical and rest measurements
