Instrument_nr;Instrument_name;Instrument_description
1;15-words_task;"Dutch version of the Rey's Auditory Verbal Learning Test (AVLT; 15-words task) - assesses verbal memory"
2;Aandachttekort Stoornis met Hyperactiviteit (ASH);Dutch questionnaire that measures ADHD symptoms
3;ACTION_Vitamin;Vitamin supplementation use in the NTR-ACTION project
4;Activation-Deactivation Adjective Checklist (ADACL);Multidimensional test of various transitory arousal states
5;Adult Self Report (ASR);Measures adaptive functioning, Personal Strengths, (empirically based) syndromes, substance use, Internalizing, Externalizing, and Total Problems
6;Amsterdam Neuropsychological Tasks (ANT);Executive functioning tasks measuring Baseline Speed, Memory Search, Focused Attention, Sustained Attention, and Go-no go task
7;Anthropometry;Anthropometric measurements incl. e.g., (birth) height, weight, body mass index (BMI), and body circumferences
8;Apgar;Apgar scores directly after birth (checks a baby's heart rate, muscle tone, and other signs to see if extra medical care or emergency care is needed)
9;Attention Problem (AP) items of the Child Behavior Checklist (CBCL);Items that can be used to assess ADHD-like symptoms
10;Autism-Tics, ADHD, and other Comorbidities inventory (A-TAC);Provides good proxies for several diagnostic categories (including autism, ADHD, DCD, and learning disability)
11;Balance Error Scoring System (BESS);Scoring system to assess the number of errors made during a balance test
12;Binge_Eating;"Questions about binge eating (e.g., ""do you suffer from binge eating"", ""how old were you when you suffered from binge eating"")"
13;Birth_Questions;Questions about labor and birth of child (e.g., placenta characterization, type of birth, and heat cot/oxygen use after birth)
14;Blood_Pressure;diastolic and systolic blood pressure as measured in various YNTR studies
15;Borg’s Rating of Perceived Exertion (RPE);Subjective perception of exercise intensity
16;Breastfeeding;"Questions about breastfeeding (e.g., ""did your twin get breastfeeding?"")"
17;Brief Problem Monitor (BPM);A selection of Child Behavior Checklist for Ages 6-18 (CBCL/6-18), Teacher’s Report Form (TRF), and Youth Self-Report (YSR) items measuring Internalizing, Externalizing , and Attention problems
18;buccal_DNAmethylation;DNA methylation (EPIC array) in buccal samples and corresponding calculated buccal cell counts
19;buccal_swab;buccal swab for (epi)genetics
20;Bullying_Victimization;Questions about bullying and victimization
21;Cantril ladder;Quality of life on a scale of 0 to 10 (Cantril ladder)
22;Car, Relax, Alone, Forget, Friends, Trouble (CRAFFT) Screening Test;Screening test for substance use - identify substance use, substance-related riding/driving risk, and substance use disorder among youth ages 12-21
23;Charity;Question about donating to charity
24;Child Behavior Checklist (CBCL);Measures adaptive functioning, Personal Strengths, (empirically based) syndromes, Internalizing, Externalizing, and Total Problems
25;Child_care;Questions about pre-school, after-school and out-of school care
26;Children’s Behavior Questionnaire (CBQ);Measures temperament in children aged 3 to 7 years
27;Compulsive Internet Use Scale (CIUS);Use of the internet for private purposes
28;Computerized Neuropsychological Testing System (WEBcnp);Cognitive tasks from 10 neurocognitive domains
29;Conflict subscale from the Family Environment Scale (FES);Assesses adolescents’ perception of family conflict
30;ContraceptionUse;Questions about contraception use
31;Controlled Oral Word Association task (COWA);Subtest of the Multilingual Aphasia Exam - measures verbal fluency
32;Corsi block-tapping task;Corsi block-tapping task - memory paradigm test
33;COSMED;recorded breath-by-breath oxygen uptake (V?O2) and carbon dioxide production (V?CO2) during exercise measured with a telemetric gas exchange system (Cosmed)
34;COVID_Experience;"Statements about experiences, feelings, and health during COVID (e.g., ""I enjoy life"", ""I have little contact with other people because of my children"", or ""my stomach is upset"")"
35;COVID_HomeAtmosphere;Questions about home atmosphere (at start of COVID measures and now)
36;COVID_HomeSchool;Questions about attendance emergency care and parental help with schoolwork during school closure
37;COVID_infection;"Questions about COVID-19 infection (e.g., ""has anyone in your direct environment been infected with corona?"" or ""Have any of your relatives been hospitalized as a consequence of COVID-19?"")"
38;COVID_Parenting;"Questions about parenting and parenting experiences during COVID (e.g., ""my child listens to me"", or ""I feel satisfied with my child"")"
39;COVID_Workdemographics_parents;Changes in work demographics of the parents of twins due to COVID-19
40;Demographics;Demographics (e.g., sex, age, SES, education, religion)
41;Dental_Development;"Questions about teething (e.g., ""with how many months got your twin their first teeth"")"
42;Devereux Child Behavior (DCB) rating scale;Measures aggressive behavior, anxiety problems, attention problems, dependency, physical coordination problems, and emotional lability
43;Diagnostic Interview Schedule (DIS);A structured clinical interview based on the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV)
44;Dieting;"Questions about dieting (e.g., ""have you ever gone on a diet to lose weight or not to gain weight?"")"
45;Diffusion Tensor Imaging (DTI);Diffusion Tensor Imaging (DTI) at baseline and follow-ups of the BrainSCALE project
46;DNA_zygosity;zygosity typing of predominantly buccal DNA samples
47;Dutch Life Event Scale (Schokverwerkings Inventarisatie Lijst);Assesses the experience of stressful life events (e.g., traffic accident, robbery, death of significant other) across the lifespan
48;Dweck's forced-choice measure;Presents a set of dilemmas or goal-conflict conditions that call for resolution
49;Edinburgh handedness Inventory (EHI);Measurement scale to assess hand dominance
50;Emotionality, Activity, and Sociability (EAS) Temperament Survey for Children;Questionnaire that assesses temperament across three domains (Emotionality, Activity, and Sociability) in children (aged 1 to 9 years)
51;Eriksen flanker task;Response inhibition tests used to assess the ability to suppress responses that are inappropriate in a particular context
52;Exercise Benefits/Barriers Scale (EBBS);Questionnaire that inventories reason for/against exercising
53;Explosive_strength;Explosive strength was measured with a vertical jump test
54;EyeSight;"Health questions about eye sight (e.g., ""have the children ever worn glasses since their birth"")"
55;Family_Composition;Questions about family composition (e.g., number of siblings, other multiple births in family)
56;Family_Situation;Questions about  family/living situation (e.g., divorce of parents, or death of parent(s))
57;Feeling_Scale;Measure of pleasure-displeasure
58;Feelings;Measures how good someone feels on a 10-point scale
59;Flexibility;Measurement of physical flexibility as measured using a sit-and-reach box
60;fMRI;resting state fMRI at follow-ups of the BrainSCALE project
61;Friendship;"Questions about friends, friendships, and sibling interaction (e.g., ""In general, how important are your male friends to you?"" or "" Do you and your twin brother/sister spend much time together?"")"
62;GeneralHealth;"Questions about general health (e.g., ""how would you describe your health in general?"")"
63;Genotyping;genotyping on predominantly buccal samples with corresponding dummy variables to correct for different genotyping platforms and genetic principal components to account for ancestry
64;Handedness;Handedness twin and family members of the twin (e.g., indication whether someone is left- or right handed)
65;Handedness_questionnaire;Seven questions about hand use to determine handedness (parents indicated hand use for different activities, e.g., “What hand does child use for drawing?”. The four answer categories were left-handed, right-handed, both hands and do not know)
66;Handgrip;Handgrip strength as measured with a dynamometer
67;Health_Diseases;Questions about health problems and diseases (e.g., diseases (e.g., diabetes, asthma) handicaps, received treatments, hospitalization)
68;Health_Diseases_ACTION;Questions about health problems, diseases and disorders in the NTR-ACTION project during biological sample collection (e.g., current flu and infection, diseases (e.g., diabetes, asthma))
