Instrument_nr;Instrument_name;Instrument_description
1;Acculturation Scale (AC);Psychological Acculturation Scale, an adolescent-report scale assessing feelings of belonging and emotional attachment to Dutch and Moroccan people and culture.
2;Adult Self-Report (ASR);Adult Self-Report (ASR), a self-report scale for parents and young adults assessing internalizing and externalizing problems. 
3;Adult Temperament Questionnaire - Effortful Control (AT);Adult Temperament Questionnaire - Effortful Control, a youth-report scale assessing activation control, attentional control, inhibitory control etc.  
4;Ages and Stages Social-Emotional (ASQ-SE);Ages and Stages Questionnaire -Social Emotional (ASQ-SE), a parent and teacher report of social emotional development, communication, and social skills 
5;Antisocial Process Screening Device (AP);Antisocial Process Screening Device (AP), a parental-report scale assessing child's psychopathic traits.
6;Balanced Relatedness (BR);Balanced Relatedness Scale, a self-report scale assessing tolerance of differing opinions in dyadic relationships.
7;Behavioral Inhibition Scale/Behavioral Activation Scale (BIS/BAS);BIS/BAS, self-report scale assessing the strength of the behavioral inhibition and the behavioral activation systems, such as reward, drive, funseeking, etc.
8;Big Five (BF);Big Five, a self-report scale assessing Openness to Experience, Conscientiousness, Extraversion, Agreeableness and Emotional Stability.
9;CHAOS Questionnaire;Confusion, Hubbub and Order Scale (CHAOS), a parent report to assess environmental structure and household chaos 
10;Child Behavior Checklist (CBCL);Child Behavior Checklist (CBCL), a parent report and teacher report (TRF) to assess child problem behavior
11;Child depression;Children's Depression Inventory (CDI), adolescent report on depressive symptoms
12;Childhood Trauma Questionnaire (CTQ);Childhood Trauma Questionnaire, a youth-reported scale assessing physical and emotional neglect, as well as physical, emotional, and sexual abuse. 
13;Children / pregnancy;Questions about number of children and pregnancy
14;Children's Report of Parental Behavior Inventory (CRPBI);Children's Report of Parental Behavior Inventory (CRPBI), a youth report assessing child perception of parental behavior (psychological control)
15;Class;School grade
16;Comprehensive Early Childhood Parenting Questionnaire (CECPAQ);Comprehensive Early Childhood Parenting Questionnaire (CECPAQ), a parent report to assess parental discipline
17;Conflict Awareness (CA);Conflict Awareness, a youth-report scale (based on Grych & Fincham, 1993) on how adolescents and siblings perceive parents to argue with each other. 
18;Conflict Resolution Style Inventory (CRSI);Conflict Resolution Styles Inventory (CRSI), a self-report scale to assess how people deal with conflicts, such through conflict engagement, problem solving, withrdawal and/or compliance.
