Instrument_nr;Instrument_name;Instrument_description
1;ADHD symptoms (SWAN) and Gender Identity (GI) questionnaire;Questionnaire about ADHD symptoms and gender identity
2;Adult Self Report (ASR);Questionnaire about mental health
3;Ages and Stages Questionnaire - Social Emotional (ASQ-SE);Questionnaire about social and emotional development
4;Alabama Parenting Questionnaire (APQ);Questionnaire about parental behavior, with multiple dimensions. Includes questions about positive reinforcement, parental involvement, discipline, and monitoring.
5;Anatomy experiment (MRI);MRI
6;Behavior Questionnaire (IBQ-R SF, ECBQ, CBQ, TMCQ);Selection of items from questionnaires about child behavior. Includes items about temparement, behavioral control, emotion regulation, among others.
7;Behavioral inhibition scale (BIS) and risk behavior (substance (ab)use);Questionnaire to assess aspects of impulsivity, inhibition, self control, nervousness, and risk behavior.
8;Blood;Biological sample
9;Brief Symptom Inventory (BSI);Questionnaire about symptoms and health
10;Buccal;Biological sample
11;Bullying behavior of/towards the child;Questionnaire about bullying
12;Child Behavior Checklist (CBCL);Questionnaire about problem behavior and skills of the child
13;Child Gap antisaccade;Eye tracking experiment: The Gap-overlap task  is a gaze contingent paradigm that measures visual attention shifting between a central and a peripheral stimulus. This is thought to be a key sub process underlying behavioural control.
14;Child Gap prosaccade;Eye tracking experiment: The Gap-overlap task  is a gaze contingent paradigm that measures visual attention shifting between a central and a peripheral stimulus. This is thought to be a key sub process underlying behavioural control.
15;Childhood Trauma Questionnaire (CTQ);Questionnaire about traumatic experiences during childhood. Consists of 28-items about the severity of traumatic experience across 5 scales: emotional, physical and sexual abuse, and emotional and physical neglect. 
16;Child's report on parental behavior inventory (CRPBI);Questionnaire to assess parental behavior and family discipline, as perceived by the child.
17;Communicative Development Inventories (N-CDI) - Dutch;Questionnaire about language development
18;Competentie belevingsschaal - adolescent (CBSA);Questionnaire to assess aspects of adolescents' emotional and problemsbehavioral tendencies . Includes questions about adolescents' self-perceptions of their own physical appearance, skills (e.g. school, sports), social competence, self-identity and self-worth.
19;Comprehensive Early Childhood Parenting Questionnaire (CECPAQ);The Comprehensive Early Childhood Parenting Questionnaire was developed to assess the behavior of parents towards their young child (1-5 years). Includes questions about parental support, responsiveness, affection, structure, and discipline.
20;Cordblood;Biological sample
21;Cyberball;Computer task to measure constructs of prosocial behaviour related to empathy and social exclusion.
22;Daily care;Questionnaire about daily care of the child.
23;Demographics;Questionnaire about household, language, education, family relations, economic situation, and religion.
24;Diffusion Tensor Imaging (DTI);MRI
25;Discount (Delay Gratification);The delay of gratification paradigm tests a child’s ability to refrain from touching a gift that is placed in front of them, while the experimenter leaves the room.
26;Early adolescent temperament questionnaire - revised (EATQ-R);Questionnaire to assess aspects of adolescents' temperament and self-regulation capacities. Includes questions about attention, fear, affiliation, pleasure sensitivity, frustration, among others.
27;Echo/3D Ultrasound;All pregnant women are tested at 20 and 30 weeks gestational age for an advanced fetal neurosonograpy to study fetal brain development.
28;Edinburgh Postnatal Depression Scale (EPDS);Questionnaire about depression symptoms
29;EEG coherence;EEG experiment to understand how the connectivity among different areas of the infant brain develops. Infants passively watch 60-second video clips depicting singing women or moving toys.
30;EEG Face Emotion;EEG experiment to understand how the infant brain differentially responds to viewing faces with different facial expressions (happy and fear).
31;EEG Face House;EEG experiment to understand how the infant brain differentially responds to viewing pictures of faces vs. houses. Infants passively watch pictures of (neutral) faces and pictures of typical Dutch houses.
32;Family illness;Questionnaire about medical problems of first degree family members
33;Family illness - medical;Questionnaire about medical problems of first degree family members
34;Family illness - psychiatric;Questionnaire about psychiatric problems of first degree family members
35;Food Frequency Questionnaire (FFQ) - Pregnancy;Questionnaire about food intake during pregnancy
36;Food Frequency Questionnaire (FFQ) - Youth;Questionnaire about food intake
37;Functional MRI Inhibition experiment;The stop-signal anticipation task for functional MRI aims to measure performance and brain activation during actual stopping as well as during the anticipation of stopping.
38;General health;Questionnaire about health
39;Hair;Biological sample
40;Hand Game;The Hand game aims to measure non-verbal inhibitory control in children aged 3 to 5.
41;Infant Behavior Questionnaire Revised (IBQ-R);Questionnaire designed to measure temperament in infants between the ages of 3 and 12 months. Includes questions about activity level, distress, soothability, cuddling behavior, vocal reactivity,  smiling and laughter.
42;Infant Face Popout;Eyetracking experiment: The face pop out task measures what stimulus-objects grab and hold a subject's attention.  
43;Infant Pro Gap;Eyetracking experiment: The gap-overlap task is a gaze contingent paradigm that measures visual attention shifting between a central and a peripheral stimulus.
44;Infant Social Gaze;Eyetracking experiment: The social gaze task measures a subject’s sensitivity to another person’s gaze direction as a possible cue to predict the location of a next event.
45;Inhibition experiment (mock scanner);The stop-signal anticipation task for functional MRI aims to measure performance and brain activation during actual stopping as well as during the anticipation of stopping.
46;Interpersonal Reactivity Index (IRI);A questionnaire to assess aspects of empathy. Consists of 32-items about three dimensions of empathy: perspective taking, fantasy, emphatic concern, personal distress.
47;Labour and birth;Questionnaire about pregancy, labour, and birth of the child.
48;Length, head circumference, weight and vaccinations;Assessment of anthropometric measures and medical information.
49;Lifestyle;Questionnaire about vitamins, medication, exposure during pregnancy to alcohol, smoking, substance (ab)use, physical activity, sleep behavior
50;Lifestyle - Substance (ab)use;Questionnaire about substance (ab)use
51;Lifestyle during pregnancy (DEMO, LFST);Questionnaire about diet, intake of vitamins and medication exposure during pregnancy
52;List of longterm stressful life events;Questionnaire about longterm stressful life events
53;Looking While Listening;Eye tracking experiment: This  task is a simplified version of a visual world paradigm to study the interaction between language and looking behavior. In every trial, pairs of familiar images/objects are presented to observers, accompanied with a pre-recorded Dutch sentence that asks the participant to look at one of these images.
54;Major life events;Questionnaire about major life events in the past 12 months
55;Media use;Questionnaire about the use of (computer) games and social media
56;Movies and series (FVL-2);Questionnaire about watching movies and series
57;NEO-Five Factor Inventory-3(NEO-FFI-3);Assessment of personality traits and dimensions. Includes five dimensions: openness to experience, conscientiousness, extraversion,  agreeableness, and neuroticism.
58;Network Relationships Inventory - Short Form - Parent report (NRI-SF parent report);Questionnaire about relationship qualities (e.g. with mother, father, sibling, friend, teacher). Includes items that assess positive and negative qualities. Parent's version.
59;Network Relationships Inventory - Short Form (NRI-SF);Questionnaire about relationship qualities (e.g. with mother, father, sibling, friend, teacher). Includes items that assess positive and negative qualities.
60;Nijmeegse Opvoedvragenlijst (NOV);Questionnaire about parenting, with multiple dimensions. Includes questions about parental responsiveness and disciplinary strategies.
