"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents"
"1","1_Abbreviated Parent Report Children’s Abilities (PARCA) ","","",0,"NA","NaN","33",0
"2","10_Autism-spectrum quotient (AQ-short)","asd,autism,autism quotient,autistic traits,neurodevelopmental disorder","1,1,1,1,1",1,"Mental health,NA","1,0","1,33",1
"3","100_Interpersonal conflict questionnaire","","",0,"NA","NaN","33",0
"4","101_Intima-media thickness","","",0,"NA","NaN","33",0
"5","102_Inventory of Callous-Unemotional Traits","callous traits,lack of empathy","1,1",1,"Mental health,Personality,Social and emotional development,Social cognition and behavior,NA","0.29,0.29,0.29,0.14,0","1,1,1,1,33",1
"6","103_Kidney development","","",0,"NA","NaN","33",0
"7","104_Language","bilingual,language,multilingual","1,1,1",1,"Demographics,Life history,NA","0.67,0.33,0","1,1,33",1
"8","105_Language development survey. LDS","language,speech,vocabulary","1,1,1",1,"Cognition,NA","1,0","1,33",1
"9","106_Leisure time ","","",0,"NA","NaN","33",0
"10","107_Life event interview","","",0,"NA","NaN","33",0
"11","108_Life events","","",0,"NA","NaN","33",0
"12","109_Lifestyle","alcohol,caffeine,cannabis,coffee,drug,eating,gambling,lifestyle,physical activity","1,1,1,1,1,1,1,1,1",1,"Lifestyle,Physical health,NA","0.67,0.33,0","1,1,33",1
"13","11_Background information of you and your family ","","",0,"NA","NaN","33",0
"14","110_Living conditions (GLOBE)","","",0,"NA","NaN","33",0
"15","111_Loneliness scale ","","",0,"NA","NaN","33",0
"16","112_Lung function (through airway resistance)","","",0,"NA","NaN","33",0
"17","113_Lung: fractional exhaled nitric ocide (feno) - airway inflammation","airway inflammation,fractional exhaled nitric oxide,lung","1,1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,33",1
"18","114_Lungs: Allergy test","allergy,lung problems","1,1",1,"Physical health,NA","1,0","1,33",1
"19","115_Lungs: Exercise test (Steep Ramp Test)","","",1,"Physical health,Physiology,NA","0.67,0.33,0","1,1,33",1
"20","116_Macarthur Communicative Development Inventory (MCDI)","","",0,"NA","NaN","33",0
"21","117_Marital status and relationship quality ","","",0,"NA","NaN","33",0
"22","118_Matching, building with blocks, folding paper, copying; playing (non-verbal cognition) (PARCA)","","",0,"NA","NaN","33",0
"23","119_Maternity blues symptoms","","",0,"NA","NaN","33",0
"24","12_Behaviour Rating Inventory of Executive Function in Preschool Children (BRIEF-P)","","",0,"NA","NaN","33",0
"25","120_McKnight Risk Factor Survey (MRFS-III)","body image,self-esteem","1,1",1,"Mental health,NA","1,0","1,33",1
"26","121_Medical history of family","","",0,"NA","NaN","33",0
"27","122_Moral Development/Conscience","conscience,moral development","1,1",1,"Social cognition and behavior,Social and emotional development,Mental health,NA","0.5,0.33,0.17,0","1,1,1,33",1
"28","123_Mother and Baby Scale (MABS)","feeding,infant alertness,mother-child interaction,sleeping","1,1,1,1",1,"Parenting,infant behaviour,NA","0.67,0.33,0","1,1,32",1
"29","124_Mother-child interaction","attachment,behavior problems,etch-a-sketch,mother-child interaction,mother-child relationship,observations,oversensitivity","1,1,1,1,1,1,1",1,"Parenting,Social and emotional development,NA","0.67,0.33,0","1,1,33",1
"30","125_Motor development","","",0,"NA","NaN","33",0
"31","126_Movement (exercise)","","",0,"NA","NaN","33",0
"32","127_MRI","body mri,magnetic resonance imaging,mri","1,1,1",1,"Physical health,Physiology,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,33",1
"33","128_MRI brain imaging","","",0,"NA","NaN","33",0
"34","129_Multidimensional Scale of Perceived Social Support","","",0,"NA","NaN","33",0
"35","13_Behavioural inhibition and behavioural activation (BIS/BAS).","","",0,"NA","NaN","33",0
"36","130_Nasal and nasalpharyngeal swabs for examination of bacterial carriage","","",0,"NA","NaN","33",0
"37","131_Neonatal Perception Inventory, perception of own infant","","",0,"NA","NaN","33",0
"38","132_Neuropsychological development (NEPSY-II)","attention,executive function,executive functioning,inhibitory control,memory,shifting","1,1,1,1,1,1",1,"cognitive functions,cognitive functioning,Cognition,NA","0.5,0.33,0.17,0","1,1,1,31",1
"39","133_Nijmeegse parental stress index","","",0,"NA","NaN","33",0
"40","134_Non-verbal IQ: Snijders-Oomen Niet-verbale intelligentie Test–Revisie (SON-R 2 1?2-7)","","",0,"NA","NaN","33",0
"41","135_Obstructive Sleep Apnea (OSA) questionnaire","obstructive sleep apnea,sleep problems","1,1",1,"Lifestyle,Physical health,Mental health,NA","0.5,0.25,0.25,0","1,1,1,33",1
"42","136_Opportunity for Prosocial Actions","","",1,"Social cognition and behavior,Social and emotional development,Mental health,NA","0.4,0.4,0.2,0","1,1,1,33",1
"43","137_Parental bonding inventory","","",0,"NA","NaN","33",0
"44","138_Parental sensitivity","","",0,"NA","NaN","33",0
"45","139_Parenting practices","parental monitoring,parenting,monitoring,parental control,parenting practices","2,2,1,1,1",2,"Parenting,NA","1,0","2,33",2
"46","14_Berkeley Puppet interview","anxiety,bullying,conduct,depression,diagnostic interview,externalizing,hostility,internalizing,interview,oppositional defiant,peer acceptance,psychiatric interview","1,1,1,1,1,1,1,1,1,1,1,1",1,"Mental health,Social and emotional development,NA","0.67,0.33,0","1,1,33",1
"47","140_Pediatric daytime sleepiness scale (PDSS)","","",0,"NA","NaN","33",0
"48","141_Perceived parental rearing","maternal perceived parenting,maternal perceived rearing,perceived parenting","1,1,1",1,"parental life history,Life history,Parenting,NA","0.5,0.33,0.17,0","1,1,1,32",1
"49","142_Perceived stress.","stress,perceived stress,maternal stress","3,2,1",3,"Mental health,maternal mental health,Parenting,NA","0.72,0.17,0.11,0","3,1,1,32",3
"50","143_Personal circumstances (incl. income) - GLOBE","","",0,"NA","NaN","33",0
"51","144_Physical appearance","3d picture,looks,physical appearance","1,1,1",1,"Physical health,Lifestyle,NA","0.67,0.33,0","1,1,33",1
"52","145_Physical characteristics (hair, eye, skin color mother and child)","external characteristics,physical characteristics","1,1",1,"Physiology,NA","1,0","1,33",1
"53","146_Physical exercise ","","",0,"NA","NaN","33",0
"54","147_Physical health (chronic somatic diseases)","physical health,somatic complaints,chronic disease,chronic diseases,health","2,2,1,1,1",2,"Physical health,Life history,Physiology,NA","0.75,0.17,0.08,0","2,1,1,33",2
"55","148_Pittsburgh Sleep Quality Index (PSQI), 9 items","","",0,"NA","NaN","33",0
"56","149_Placental haeomynamics including resistance indices of the uterine and umbilical arteries","","",0,"NA","NaN","33",0
"57","15_Block Child Rearing Practices Report, abbreviated","parent-child interaction,parenting","1,1",1,"Parenting,NA","1,0","1,33",1
"58","150_Playing outside","","",0,"NA","NaN","33",0
"59","151_Postnatal emotional problems and treatment","","",0,"NA","NaN","33",0
"60","152_Pregnancy complications and outcomes ","","",0,"NA","NaN","33",0
"61","153_Pregnancy outcome list","","",0,"NA","NaN","33",0
"62","154_Pre-school, after-school and out-of school care","","",0,"NA","NaN","33",0
"63","155_Previous pregnancies","","",0,"NA","NaN","33",0
"64","156_Prosocial behavior - SDQ","","",0,"NA","NaN","33",0
"65","157_Prosocial Tendencies Measures","helping others,prosocial behaviour","1,1",1,"Personality,Social cognition and behavior,NA","0.67,0.33,0","1,1,33",1
"66","158_Psychological assistence ","mental health,mental health care,psychological problems,treatment","1,1,1,1",1,"Mental health,care use,NA","0.67,0.33,0","1,1,32",1
"67","159_Pubertal development","development of secondary sexual characteristics,pubertal development,puberty","1,1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,33",1
"68","16_Blood pressure","","",1,"Physical health,Physiology,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,33",1
"69","160_Ravens advanced progressive matrices test. Set I","cognition,iq,maternal iq","1,1,1",1,"Cognition,Social cognition and behavior,NA","0.67,0.33,0","1,1,33",1
"70","161_Referred for treatment for emotional or behavioral problems","","",0,"NA","NaN","33",0
