"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents"
"1","1_ADHD symptoms (SWAN) questionnaire","adhd,attention deficit disorder,behavioral control,developmental psychopathology,hyperactivity,mental health,psychiatric symptoms,psychiatry,psychopathology,questionnaire","2,1,1,1,1,1,1,1,1,1",3,"Mental health,Social and emotional development,developmental disorder,questionnaire,NA","0.67,0.11,0.11,0.11,0","3,1,1,1,109",3
"2","10_Brief Symptom Inventory (BSI)","health,medical,mental health,psychopathology,symptoms,wellbeing","1,1,1,1,1,1",2,"Mental health,Physical health,Social and emotional development,questionnaire,NA","0.61,0.17,0.11,0.11,0","3,1,1,1,110",3
"3","11_Buccal","biological data,dna,epigenetics,oral mucosa","1,1,1,1",1,"Physiology,NA","1,0","1,111",1
"4","12_Bullying behavior of/towards the child","ace adverse childhood experience,peers,questionnaire bullying,relationships,school,trust","1,1,1,1,1,1",1,"Social and emotional development,Social cognition and behavior,relationships,NA","0.5,0.33,0.17,0","1,1,1,110",1
"5","13_Child Behavior Checklist (CBCL)","aandachtstekort/hyperactiviteitsproblemen,affectieve problemen,angstproblemen,cbcl,diagnostisch instrument,dsm-schalen,externaliserend,gedragsvragenlijst,internaliserend,oppositioneel- opstandige problemen,pervasieve ontwikkelingsproblemen,problem behavior child,rapportage door ouders,skills of the child","1,1,1,1,1,1,1,1,1,1,1,1,1,1",1,"Social cognition and behavior,Social and emotional development,NA","0.5,0.5,0","1,1,111",1
"6","14_Child Gap Antisaccade","","",0,"NA","NaN","111",0
"7","15_Child Gap Prosaccade","attention,(saccadic) eye movements,attention shifting,behavioral control,eye-tracking,frontal lobe,gap-overlap task,gap task,gaze,posner task,saccade,visual system","2,1,1,1,1,1,1,1,1,1,1,1",2,"Physiology,Cognition,NA","0.5,0.5,0","2,2,111",2
"8","16_Childhood Trauma Questionnaire (CTQ)","abuse,child,childhood,emotions,neglect,questionnaire,self-report,trauma,traumatic event,traumatic experience","1,1,1,1,1,1,1,1,1,1",1,"Life history,Mental health,Physical health,NA","0.5,0.33,0.17,0","1,1,1,111",1
"9","17_Child's report on parental behavior inventory (CRPBI)","","",0,"NA","NaN","111",0
"10","18_Communicative Development Inventories (N-CDI) - Dutch","","",1,"language development,Cognition,NA","0.67,0.33,0","1,1,110",1
