"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents"
"1","1_Socio-demographics","age,demographics,education,ethnicity,family composition,income,living conditions,religiosity,sci-fi-economic status,ses,sex,socio-demographics,work","1,1,1,1,1,1,1,1,1,1,1,1,1",1,"Demographics,NA","1,0","1,177",1
"2","10_Cannabis Use Problems Identification Test (CUPIT)","","",0,"NA","NaN","177",0
"3","100_Career and family planning","family,planning,work","1,1,1",1,"Social and emotional development,Personality,Demographics,NA","0.5,0.33,0.17,0","1,1,1,177",1
"4","101_Short trips","","",1,"leisure time activities,NA","1,0","1,176",1
"5","102_Internet use","social media,internet,internet use,online,virtual","2,1,1,1,1",2,"daily activities,internet use,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,175",2
"6","103_Social media use","","",1,"social interaction,time spending,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,175",1
"7","104_Gaming","gaming,addiction,leisure","2,1,1",2,"Lifestyle,behavior,Mental health,activity,NA","0.42,0.25,0.17,0.17,0","2,1,1,1,175",2
"8","105_Social Production Functions Questionnaire","","",0,"NA","NaN","177",0
"9","106_Social support","family support,friends,neighbourhood support,social support,support network","1,1,1,1,1",1,"Social cognition and behavior,social functioning,social network,Social and emotional development,NA","0.5,0.2,0.2,0.1,0","1,1,1,1,175",2
"10","107_Motives for Behaviour Questionnaire","","",0,"NA","NaN","177",0
"11","108_Discrimination ","","",1,"social environment,NA","1,0","1,176",1
"12","109_Noise disturbance","","",0,"NA","NaN","177",0
"13","11_Eating Disorder Diagnostic Scale (EDDS)","anorexia nervosa,binge-eating disorder,bulimia nervosa,eating disorder,eating disorder diagnostic scale,edds","1,1,1,1,1,1",1,"Physical health,Mental health,Social and emotional development,NA","0.4,0.4,0.2,0","1,1,1,177",1
"14","110_Financial debts","","",0,"NA","NaN","177",0
"15","111_Care responsibilities","","",0,"care responsibilities ,NA","1,0","1,176",1
"16","112_Confusion, Hubbub, and Order Scale (CHAOS)","","",0,"NA","NaN","177",0
"17","113_Infant/Toddler Home Observation for Measurement of the Environment (IT-HOME)","","",0,"NA","NaN","177",0
"18","114_Pregnancy stress","","",0,"NA","NaN","177",0
"19","115_Pregnancy history","perinatal,pregnancy","1,1",1,"Life history,NA","1,0","1,177",1
"20","116_Ages and Stages Questionnaires: Social-Emotional (ASQ:SE)","emotional development,social-emotional development,social development","1,1,1",1,"Social and emotional development,NA","1,0","1,177",1
"21","117_Sleep and Settle Questionnaire (SSQ)","crying,parental distress,sleep,temperament","1,1,1,1",1,"Parenting,Personality,Social and emotional development,NA","0.5,0.25,0.25,0","1,1,1,177",1
"22","118_Developmental milestones","","",1,"Social and emotional development,Physical health,Mental health,Cognition,NA","0.55,0.2,0.15,0.1,0","2,1,1,1,177",2
"23","119_Food Frequency Questionnaire","","",0,"NA","NaN","177",0
"24","12_Community Assessment of Psychic Experiences (CAPE)","delusion,hallucination,psychosis,schizophrenia","1,1,1,1",1,"Mental health,NA","1,0","1,177",1
"25","120_Lifestyle","alcohol use,diet,physical activity,smoking","1,1,1,1",1,"Lifestyle,health behavior,NA","0.67,0.33,0","1,1,176",1
"26","121_ALSPAC positivity/negativity","","",0,"NA","NaN","177",0
"27","122_Postpartum Bonding Scale","","",0,"parent-child relation,Parenting,NA","0.67,0.33,0","1,1,176",1
"28","123_Parent Behavior Checklist (PBC)","discipline,nurturing,parental expectations,parenting,upbringing","1,1,1,1,1",1,"Parenting,NA","1,0","1,177",1
"29","124_Parental overprotection","parental overprotection,parenting","1,1",1,"Parenting,NA","1,0","2,177",2
"30","125_Self-Efficacy for Parenting Tasks Index (SEPTI-TS)","","",0,"NA","NaN","177",0
"31","126_Nijmeegse Ouderlijke Stress Index Kort (NOSI-K)","","",0,"NA","NaN","177",0
