"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents"
"1","1_15-words task","","",0,"NA","NaN","183",0
"2","10_Autism-Tics, ADHD, and other Comorbidities inventory (A-TAC)","","",0,"NA","NaN","183",0
"3","100_Revised Conners' Parent Rating Scale (CPRS-R)","","",0,"NA","NaN","183",0
"4","101_Revised Conners' Teacher Rating Scale (CTRS-R)","","",0,"NA","NaN","183",0
"5","102_Revised Life Orientation Test (LOT-R)","","",0,"NA","NaN","183",0
"6","103_Revised NEO Five-Factor Inventory (NEO-FFI-R)","","",0,"NA","NaN","183",0
"7","104_Rosenberg self-esteem scale","","",0,"NA","NaN","183",0
"8","105_Saliva","","",0,"NA","NaN","183",0
"9","106_Saliva - biomarkers","","",0,"NA","NaN","183",0
"10","107_Satisfaction with Life Scale (SLS)","","",0,"NA","NaN","183",0
"11","108_School - Learning difficulties","","",1,"Cognition,Mental health,Social cognition and behavior,Social and emotional development,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,183",1
"12","109_School - Results Performance","cognition,schooling","1,1",1,"Cognition,Social cognition and behavior,NA","0.67,0.33,0","1,1,183",1
"13","11_Balance Error Scoring System (BESS)","","",0,"NA","NaN","183",0
"14","110_School Situation","","",0,"NA","NaN","183",0
"15","111_Simon task","","",0,"NA","NaN","183",0
"16","112_Sleep - Sleep Habits","","",0,"NA","NaN","183",0
"17","113_Snellen Chart","","",1,"Physical health,NA","1,0","1,183",1
"18","114_Social Skills Rating System (SSRS)","","",0,"NA","NaN","183",0
"19","115_Strengths and Difficulties Questionnaire (SDQ)","","",0,"NA","NaN","183",0
"20","116_Strengths and Weaknesses of Attention-Deficit/Hyperactivity Disorder Symptoms and Normal Behavior Scale (SWAN)","","",0,"NA","NaN","183",0
"21","117_Stroop colour-word task","","",0,"NA","NaN","183",0
"22","118_Subjective Happiness Scale (SHS)","","",0,"NA","NaN","183",0
"23","119_Surgery_Anesthesia","","",0,"NA","NaN","183",0
"24","12_Binge Eating","","",0,"NA","NaN","183",0
"25","120_T1-weighted Magnetization Transfer Imaging (MTI)","brain structure,mri","1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,183",1
"26","121_T2-weighted Magnetization Transfer Imaging (MTI)","","",0,"NA","NaN","183",0
"27","122_Tanner","adolescence,development,hormones,puberty,secondary sexual characteristics","1,1,1,1,1",1,"puberty,Physical health,adolescence,NA","0.5,0.33,0.17,0","1,1,1,181",1
"28","123_Teacher Report Form (TRF)","aseba,behavior problems,cbcl,externalizing,internalizing,psychopathology","1,1,1,1,1,1",1,"Mental health,Social and emotional development,NA","0.67,0.33,0","1,1,183",1
"29","124_Temperament Questions","","",0,"NA","NaN","183",0
"30","125_Toilet Training","","",1,"Social and emotional development,Mental health,Physical health,NA","0.5,0.33,0.17,0","1,1,1,183",1
"31","126_Tower of Hanoi","","",0,"NA","NaN","183",0
"32","127_Urine","","",0,"NA","NaN","183",0
"33","128_Urine - biomarkers","","",0,"NA","NaN","183",0
"34","129_Urine - collection","","",0,"NA","NaN","183",0
"35","13_Birth Questions","","",0,"NA","NaN","183",0
"36","130_Urine - GC-MS, OA","","",0,"NA","NaN","183",0
