"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"1","1_Adolescent Social Connections and Coping during COVID-19 Questionnaire - Social connections and Prosocial Behavior","covid-19,prosocial behavior,social connections","1,1,1",1,"covid-19,Social and emotional development,Mental health,prosocial behavior,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,190",1,"LCID"
"2","10_Children's Behavior Questionnaire - Discomfort, Fear, Perceptual sensitivity","","",0,"NA","NaN","192",0,"LCID"
"3","11_Children's Behavior Questionnaire - Effortful control","behavioral regulation,effortful control,inhibitory control,parent report","1,1,1,1",1,"Personality,Social cognition and behavior,Social and emotional development,NA","0.33,0.33,0.33,0","1,1,1,192",1,"LCID"
"4","12_Competentiebelevingsschaal voor Adolescenten","","",0,"NA","NaN","192",0,"LCID"
"5","13_Confusion, Hubbub and Order Scale","home environment,environmental chaos,household chaos","2,1,1",2,"Lifestyle,environmental measures,NA","0.5,0.5,0","1,1,191",2,"LCID"
"6","14_COVID-19 Open Questions","","",2,"covid-19,pandemic,well-being,NA","0.5,0.33,0.17,0","1,1,1,189",2,"LCID"
"7","15_Dictator Game","","",0,"NA","NaN","192",0,"LCID"
"8","16_Dutch Reactive and Proactive aggression Questionnaire","","",0,"NA","NaN","192",0,"LCID"
"9","17_Early Adolescent Temperament Questionnaire - Discomfort, Fear, Perceptual sensitivity","adolescence,discomfort,fearfulness,perceptual sensitivity,temperament","1,1,1,1,1",1,"Personality,NA","1,0","1,192",1,"LCID"
"10","18_Early Adolescent Temperament Questionnaire - Effortful control","effortful control,adolescence,attentional control,inhibitory control,temperament","2,1,1,1,1",2,"Social cognition and behavior,Personality,behavioral control,NA","0.67,0.17,0.17,0","2,1,1,191",2,"LCID"
"11","19_E-diary - Daily structure and activities of the children","","",0,"NA","NaN","192",0,"LCID"
"12","2_Alabama Parenting Questionnaire","","",0,"NA","NaN","192",0,"LCID"
"13","20_EEG during the Face Processing Task","","",0,"NA","NaN","192",0,"LCID"
"14","21_Faces paradigm","","",0,"NA","NaN","192",0,"LCID"
"15","22_Family Assessment Device","communication,family functioning,family relationships,general functioning,parenting","1,1,1,1,1",2,"Parenting,Lifestyle,Social and emotional development,NA","0.5,0.33,0.17,0","1,1,1,192",1,"LCID"
"16","23_Family Interaction Task","parent-child interaction,family dynamics","2,1",2,"Parenting,family interaction,NA","0.83,0.17,0","2,1,191",2,"LCID"
"17","24_Fear of Negative Evaluation",",child report,negative evaluation,sensitivity to evaluation,social anxiety","1,1,1,1,1",2,"Social cognition and behavior,Mental health,Social and emotional development,NA","0.5,0.33,0.17,0","1,1,1,192",2,"LCID"
"18","25_Feeling and Thinking Questionnaire","","",0,"NA","NaN","192",0,"LCID"
"19","26_Five-minute speech","","",0,"NA","NaN","192",0,"LCID"
"20","27_fMRI during the Self-concept Task","fmri,neuroimaging,self-concept","1,1,1",1,"Social cognition and behavior,Social and emotional development,neurobiology,NA","0.4,0.4,0.2,0","1,1,1,191",1,"LCID"
"21","28_Highly Sensitive Child Scale","child sensitivity,temperament","1,1",1,"Personality,Social cognition and behavior,NA","0.67,0.33,0","1,1,192",1,"LCID"
"22","29_Individual differences and preferences","individual differences,twins","1,1",1,"Personality,NA","1,0","1,192",1,"LCID"
"23","3_Attachment Script Assessment","attachment,parent-child relationship,secure base script","2,1,1",2,"Parenting,Social cognition and behavior,NA","0.83,0.17,0","2,1,192",2,"LCID"
"24","30_Interpersonal Reactivity Index","","",0,"NA","NaN","192",0,"LCID"
"25","31_Inventory of Callous-Unemotional Traits","antiscocial behavior,callous-unemotional traits,social behavior","1,1,1",1,"Social and emotional development,NA","1,0","1,192",1,"LCID"
"26","32_Investment Models Scale","","",1,"Mental health,Life history,NA","0.67,0.33,0","1,1,192",1,"LCID"
"27","33_Language Environment Analysis","environmental recording,lena","1,1",1,"environment,NA","1,0","1,191",1,"LCID"
"28","34_Musical Training Questionnaire","","",0,"NA","NaN","192",0,"LCID"
"29","35_MyChild - Empathy","empathy,guilt,internalized conduct,prosocial behavior,social behavior","3,1,1,1,1",3,"Social and emotional development,Social cognition and behavior,prosocial behavior,NA","0.67,0.28,0.06,0","3,2,1,191",3,"LCID"
"30","36_MyChild - Guilt","child development,child report,conscience,guilt","1,1,1,1",2,"Social and emotional development,Social cognition and behavior,NA","0.75,0.25,0","2,1,192",2,"LCID"
"31","37_MyChild - Obedience","","",0,"NA","NaN","192",0,"LCID"
"32","38_Observation Evening meal","evening meal,natural environment,observation,parent-child interaction","1,1,1,1",1,"Parenting,family interaction,NA","0.67,0.33,0","1,1,191",1,"LCID"
"33","39_Olweus Bully/Victim Questionnaire","behavioral control,bullying,empathy,social competence,social development,victimization","1,1,1,1,1,1",2,"Social and emotional development,Mental health,Social cognition and behavior,Cognition,Personality,Parenting,NA","0.5,0.17,0.13,0.1,0.07,0.03,0","2,1,1,1,1,1,192",2,"LCID"
"34","4_Behavioral Inhibition and Activation System","behavioral drive,behavioral inhibition","1,1",1,"Social cognition and behavior,NA","1,0","1,192",1,"LCID"
"35","40_Pandemic Questionnaire ","","",0,"NA","NaN","192",0,"LCID"
"36","41_Parenting Attitudes Questionnaire","discipline,parent-child relationship,parental attitudes,parenting,parenting attitudes,self-report,sensitivity","1,1,1,1,1,1,1",2,"Parenting,NA","1,0","2,192",2,"LCID"
"37","42_Parenting Daily Hassles","parenting,daily hassles,parenting difficulties,self-report","2,1,1,1",2,"Parenting,Mental health,NA","0.83,0.17,0","2,1,192",2,"LCID"
"38","43_Parenting Practices Questionnaire - Warmth/involvement","parenting,involvement,parental warmth,parental affection,parental attention,parental involvement,parental sensitivity,self-report,warmth","3,2,2,1,1,1,1,1,1",3,"Parenting,NA","1,0","3,192",3,"LCID"
"39","44_Parenting Scale","parental aggression,parental laxness,parenting attitudes,parenting behavior","1,1,1,1",1,"Parenting,NA","1,0","1,192",1,"LCID"
"40","45_Parenting Scale - Overreactivity","overreactivity,parenting,parental laxness,parental overreactivity,parenting behavior,self-report","2,2,1,1,1,1",3,"Parenting,NA","1,0","3,192",3,"LCID"
"41","46_Perceived Stress Scale","anxiety,perceived stress,stress","1,1,1",1,"Mental health,NA","1,0","1,192",1,"LCID"
"42","47_Pregnancy and Birth","","",0,"NA","NaN","192",0,"LCID"
"43","48_Previous Parenting Support","parenting,parenting support","1,1",1,"Parenting,NA","1,0","1,192",1,"LCID"
"44","49_Purdue Home Stimulation Inventory - Observation, interview","home environment,household chaos","1,1",1,"Lifestyle,home environment,NA","0.67,0.33,0","1,1,191",1,"LCID"
"45","5_Brief Symptom Inventory","anxiety,depression,hostility,interpersonal sensitivity","1,1,1,1",1,"Mental health,NA","1,0","1,192",1,"LCID"
"46","50_Questionnaire home environment - Daily routines (Sleep, Eat, Care, Media, Work)","care,eating,media,routines,sleep,work","1,1,1,1,1,1",1,"Lifestyle,NA","1,0","1,192",1,"LCID"
"47","51_Questions about school-going of the twins","academic achievement,academic development,school","1,1,1",1,"Demographics,Cognition,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,192",1,"LCID"
"48","52_Sally-Ann Task","theory of mind,child development,observation,tom","2,1,1,1",2,"Social and emotional development,Social cognition and behavior,NA","0.67,0.33,0","2,1,192",2,"LCID"
"49","53_Self-concept Task","","",0,"NA","NaN","192",0,"LCID"
"50","54_Sensitive Discipline - Do","","",0,"NA","NaN","192",0,"LCID"
"51","55_Sensitive Discipline - Don't","observation,parent-child relationship,parental sensitive discipline,parentin,parenting,sensitive discipline,sensitive limit-setting","1,1,1,1,1,1,1",2,"Parenting,NA","1,0","2,192",2,"LCID"
"52","56_Sensitivity - Etch-a-Sketch","parent-child interaction,parental sensitivity,observed parenting,parent-child collaboration","2,2,1,1",2,"Parenting,parent-child interaction,observation,NA","0.67,0.17,0.17,0","2,1,1,190",2,"LCID"
"53","57_Sensitivity - Family game (Familygame_quartet en Familygame_roach)","free play,observation,parent-child relationship,sensitivity","1,1,1,1",1,"Parenting,NA","1,0","1,192",1,"LCID"
"54","58_Sensitivity - Free play","parental sensitivity,parenting,sensitivity","1,1,1",1,"Parenting,NA","1,0","1,192",1,"LCID"
"55","59_Sensorimotor synchronization","","",0,"NA","NaN","192",0,"LCID"
"56","6_Buitenschoolse activiteiten (out of school activities)","extracurricular activities,hobbies","1,1",1,"daily routines,Social cognition and behavior,NA","0.67,0.33,0","1,1,191",1,"LCID"
"57","60_Social Contact","","",0,"NA","NaN","192",0,"LCID"
"58","61_Social Media Questionnaire","self-report,social media","1,1",1,"NA","NaN","192",0,"LCID"
"59","62_Social Media Questionnaire","","",1,"Lifestyle,Social cognition and behavior,NA","0.67,0.33,0","1,1,192",1,"LCID"
"60","63_Social Wellbeing Questionnaire","social selfconcept,social wellbeing","1,1",1,"Mental health,Social and emotional development,NA","0.67,0.33,0","1,1,192",1,"LCID"
"61","64_Strength and Difficulties Questionnaire","conduct problems,emotional problems,externalizing,hyperactivity,internalizing,peer problems,prosocial","1,1,1,1,1,1,1",1,"Social and emotional development,Mental health,NA","0.67,0.33,0","1,1,192",1,"LCID"
"62","65_Temperament in Middle Childhood Questionnaire - Discomfort, Fear, Perceptual sensitivity","differential susceptibility,discomfort,fear,perceptual sensitivity,temperament","1,1,1,1,1",1,"Social cognition and behavior,Personality,NA","0.67,0.33,0","1,1,192",1,"LCID"
"63","66_Temperament in Middle Childhood Questionnaire - Effortful control","effortful control,middle childhood,temperament","1,1,1",1,"Personality,Social and emotional development,NA","0.67,0.33,0","1,1,192",1,"LCID"
"64","67_Twin Social Interaction / Etch-a-Sketch among twins","","",1,"Social and emotional development,Social cognition and behavior,NA","0.67,0.33,0","1,1,192",1,"LCID"
"65","68_Twin Social Skills or Differences","individual differences,social competence,twins","1,1,1",1,"Personality,Social and emotional development,NA","0.5,0.5,0","1,1,192",1,"LCID"
"66","69_Visual Analogue Scale - Scanner related stress","scanner related stress,stress experience","1,1",1,"Mental health,neuroimaging,NA","0.67,0.33,0","1,1,191",1,"LCID"
"67","7_Cheating - Ball throwing","","",0,"NA","NaN","192",0,"LCID"
"68","70_Wildman items to screen for social desirability","","",1,"NA","NaN","192",0,"LCID"
"69","8_Cheating - Dog task","","",0,"NA","NaN","192",0,"LCID"
"70","9_Cheating - Word puzzle","behavioral control,cheating","1,1",1,"Social cognition and behavior,behavioral control,Social and emotional development,NA","0.5,0.33,0.17,0","1,1,1,191",1,"LCID"
