"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"1","51_Patiënten Gezondsheidsvragenlijst","depression,internalizing problem behavior,screening tool","1,1,1",1,"Mental health,NA","1,0","1,192",1,"RADAR"
"2","1_Acculturation Scale (AC)","acculturation,cultural minorities,cultural processes,culture,identity","1,1,1,1,1",2,"Social cognition and behavior,Social and emotional development,NA","0.67,0.33,0","1,1,192",1,"RADAR"
"3","10_Child Behavior Checklist (CBCL)","","",0,"NA","NaN","192",0,"RADAR"
"4","11_Children's Depression Inventory (CDI)","","",0,"NA","NaN","192",0,"RADAR"
"5","12_Childhood Trauma Questionnaire (CTQ)","","",0,"NA","NaN","192",0,"RADAR"
"6","13_Children's Report of Parental Behavior Inventory (CRPBI)","parent-child relationship,parenting behavior","1,1",1,"Parenting,NA","1,0","1,192",1,"RADAR"
"7","14_Comprehensive Early Childhood Parenting Questionnaire (CECPAQ)","","",0,"NA","NaN","192",0,"RADAR"
"8","15_Conflict Awareness (CA)",",family relationships,parental conflict,relationship quality","1,1,1,1",1,"Parenting,Social cognition and behavior,NA","0.67,0.33,0","1,1,192",1,"RADAR"
"9","16_Conflict Resolution Style Inventory (CRSI)",",conflict,interpersonal conflict,interpersonal relationships,personal relationships","1,1,1,1,1",1,"Personality,Social cognition and behavior,Social and emotional development,NA","0.4,0.4,0.2,0","1,1,1,192",1,"RADAR"
"10","17_Conflict task",",family relationships,parent-adolescent conflict,parent-adolescent relationships,parent-child relationship quality,parent-child relationships","1,1,1,1,1,1",2,"Parenting,parent-child relationship quality,Personality,Social cognition and behavior,NA","0.42,0.33,0.12,0.12,0","2,1,1,1,191",2,"RADAR"
"11","18_Cortisol awakening response","","",0,"Physiology,NA","1,0","1,192",1,"RADAR"
"12","19_Daily Hassles (DH)","","",0,"NA","NaN","192",0,"RADAR"
"13","2_Adult Self-Report (ASR)","","",0,"NA","NaN","192",0,"RADAR"
"14","20_Daily Mood Device (DMD)","emotions,daily diary,feelings","2,1,1",2,"Mental health,Social and emotional development,Social cognition and behavior,NA","0.58,0.25,0.17,0","2,2,1,192",2,"RADAR"
"15","21_Delay of Gratification Task ","","",0,"NA","NaN","192",0,"RADAR"
