"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"1","Socio-demographics","age,demographics,education,ethnicity,family composition,income,living conditions,religiosity,sci-fi-economic status,ses,sex,socio-demographics,work","1,1,1,1,1,1,1,1,1,1,1,1,1",1,"Demographics,NA","1,0","1,192",1,"TRAILS"
"2","Cannabis Use Problems Identification Test (CUPIT)","","",0,"NA","NaN","192",0,"TRAILS"
"3","Career and family planning","family,planning,work","1,1,1",1,"Social and emotional development,Personality,Demographics,NA","0.5,0.33,0.17,0","1,1,1,192",1,"TRAILS"
"4","Short trips","","",1,"leisure time activities,NA","1,0","1,191",1,"TRAILS"
"5","Internet use","social media,internet,internet use,online,virtual","2,1,1,1,1",2,"daily activities,internet use,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,190",2,"TRAILS"
"6","Social media use","","",1,"social interaction,time spending,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,190",1,"TRAILS"
"7","Gaming","gaming,addiction,leisure","2,1,1",2,"Lifestyle,behavior,Mental health,activity,NA","0.42,0.25,0.17,0.17,0","2,1,1,1,190",2,"TRAILS"
"8","Social Production Functions Questionnaire","","",0,"NA","NaN","192",0,"TRAILS"
"9","Social support","family support,friends,neighbourhood support,social support,support network","1,1,1,1,1",1,"Social cognition and behavior,social functioning,social network,Social and emotional development,NA","0.5,0.2,0.2,0.1,0","1,1,1,1,190",2,"TRAILS"
"10","Motives for Behaviour Questionnaire","","",0,"NA","NaN","192",0,"TRAILS"
"11","Discrimination ","","",1,"social environment,NA","1,0","1,191",1,"TRAILS"
"12","Noise disturbance","","",0,"NA","NaN","192",0,"TRAILS"
"13","Eating Disorder Diagnostic Scale (EDDS)","anorexia nervosa,binge-eating disorder,bulimia nervosa,eating disorder,eating disorder diagnostic scale,edds","1,1,1,1,1,1",1,"Physical health,Mental health,Social and emotional development,NA","0.4,0.4,0.2,0","1,1,1,192",1,"TRAILS"
"14","Financial debts","","",0,"NA","NaN","192",0,"TRAILS"
"15","Care responsibilities","","",0,"care responsibilities ,NA","1,0","1,191",1,"TRAILS"
"16","Confusion, Hubbub, and Order Scale (CHAOS)","","",0,"NA","NaN","192",0,"TRAILS"
"17","Infant/Toddler Home Observation for Measurement of the Environment (IT-HOME)","","",0,"NA","NaN","192",0,"TRAILS"
"18","Pregnancy stress","","",0,"NA","NaN","192",0,"TRAILS"
"19","Pregnancy history","perinatal,pregnancy","1,1",1,"Life history,NA","1,0","1,192",1,"TRAILS"
