"","Instrument_name","Keywords","Keyword_count","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"1","1_Abbreviated Parent Report Children’s Abilities (PARCA) ","cognition,child development,non-verbal intelligence","2,1,1","Cognition,Personality and individual differences,development,NA","0.83,0.17,0,0","2,1,1,38",2,"GenR"
"2","10_Arterial stiffness","artery,cardiovasculair,cardiovascular disease,coronary artery disease,plaque,stroke","1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"GenR"
"3","100_Home environment assessment ","attachment,development,environment,involvement,parent-child relationship,parenting","1,1,1,1,1,1","Parenting,Demographics,Life history,NA","0.5,0.25,0.25,0","1,1,1,39",1,"GenR"
"4","101_Home situation","demographics,family composition,life history,neighborhood","1,1,1,1","Demographics,NA","1,0","1,39",1,"GenR"
"5","102_Income and expenses","demographics,finance,income,social economic status,work","1,1,1,1,1","Demographics,NA","1,0","1,39",1,"GenR"
"6","103_Infant Behavior Questionnaire - Revised (IBQ)","behavior,emotion regulation,personality,temperament","1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"GenR"
"7","104_Interaction with friends and family","family functioning,friendships,leisure time,peers,play,relationship,social competence","1,1,1,1,1,1,1","Social competence,NA","1,0","1,39",1,"GenR"
"8","105_International physical activity questionnaire (IPAQ)","activity,behavior,exercise,health,physiology,sedentary behavior","1,1,1,1,1,1","Lifestyle,NA","1,0","1,39",1,"GenR"
"9","106_Interpersonal callousness measure and Inventory of Callous-Unemotional Traits","antisocial behavior,callousness,developmental psychology,diagnosis,emotion,empathy,psychiatry,psychology,psychopathy,theory of mind","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"GenR"
"10","107_Interpersonal conflict questionnaire","conflicts,problem solving,relationships,social competence","1,1,1,1","Social competence,NA","1,0","1,39",1,"GenR"
"11","108_Intima-media thickness","arteries,blood vessels,cardiovaculair,cardiovascular disease,coronary artery disease,imaging,plaque","1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"GenR"
"12","109_Inventory of Callous-Unemotional Traits","antisocial behavior,callousness,conduct disorder,diagnosis,emotion,empathy,psychiatry,psychology,psychopathy,social competence","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"GenR"
"13","11_Autism-spectrum quotient (AQ-short)","asd,autism,developmental psychology,diagnosis,psychiatry,psychology,social competence,theory of mind","1,1,1,1,1,1,1,1","Health,mental health,NA","0.67,0.33,0","2,1,38",2,"GenR"
"14","110_Kidney development","bladder,development,ecography,imaging,kidney,physiology,urine","1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"GenR"
"15","111_Language","cognition,development,education,ethnicity,language","1,1,1,1,1","Cognition,Demographics,Life history,NA","0.5,0.25,0.25,0","1,1,1,39",1,"GenR"
"16","112_Language development survey. LDS","cognition,development,education,language,verbal intelligence","1,1,1,1,1","Cognition,NA","1,0","1,39",1,"GenR"
"17","113_Leiden Inventory of Stability in center care (LIDS) and Leiden Inventory of well being in day care (LICW-D). ","child care,family composition,parenting,stability,wellbeing","1,1,1,1,1","mental health,Demographics,Parenting,NA","0.5,0.25,0.25,0","1,1,1,38",1,"GenR"
"18","114_Leisure time ","covid,excercise,hobbies,leisure time,play,sedentary behavior,sport","1,1,1,1,1,1,1","Lifestyle,NA","1,0","1,39",1,"GenR"
"19","115_Life event interview","abuse,conflict,coping,hospitalization,life event,life history,neglect,poverty,stress,trauma","1,1,1,1,1,1,1,1,1,1","Life history,NA","1,0","1,39",1,"GenR"
"20","116_Life events","abuse,life events,life history,neglect,poverty,trauma","1,1,1,1,1,1","Life history,NA","1,0","1,39",1,"GenR"
"21","117_Lifestyle","alcohol,caffeine,food preference,lifestyle,physical acitivity,risky behavior,sedentary behavior,smoking,substance abuse,substance use","1,1,1,1,1,1,1,1,1,1","Lifestyle,NA","1,0","1,39",1,"GenR"
"22","118_Living conditions (GLOBE)","child care,demographics,education,family composition,finance,income,social economic status,work","1,1,1,1,1,1,1,1","Demographics,NA","1,0","1,39",1,"GenR"
"23","119_Loneliness scale ","coping,depression,loneliness,psycholohy,social competence,wellbeing","1,1,1,1,1,1","mental health,Personality and individual differences,NA","0.67,0.33,0","1,1,38",1,"GenR"
"24","12_Background information of you and your family ","age,demographics,education,ethnicity,family composition,gender,nationality,religion,sex","1,1,1,1,1,1,1,1,1","Demographics,NA","1,0","2,39",2,"GenR"
"25","120_Lung function (through airway resistance)","endurance,excercise,health,lung,lung capacity,physiology","1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"GenR"
"26","121_Lung: fractional exhaled nitric ocide (feno) - airway inflammation","allergies,biomarker,health,inflammation,omics,physiology","1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"GenR"
"27","122_Lungs: Allergy test","allergies,health,lungs,physiology","1,1,1,1","Health,Physiology,NA","0.5,0.5,0","1,1,39",1,"GenR"
"28","123_Lungs: Exercise test (Steep Ramp Test)","endurance,excersice,health,lungs,physiology,stamina","1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"GenR"
"29","124_Macarthur Communicative Development Inventory (MCDI)","cognition,communication,development,language,verbal intelligence","1,1,1,1,1","Cognition,NA","1,0","1,39",1,"GenR"
"30","125_Marital status and relationship quality ","demographics,marital status,parent-child relationship,relationships,romantic relationships","1,1,1,1,1","Social competence,Demographics,NA","0.67,0.33,0","1,1,39",1,"GenR"
"31","126_Matching, building with blocks, folding paper, copying; playing (non-verbal cognition) (PARCA)","cognition,non-verbal congition,problem solving,spatial reasoning","1,1,1,1","Cognition,NA","1,0","1,39",1,"GenR"
"32","127_Maternity blues symptoms","anxiety,attention,depression,emotion regulation,feelings,postpartum depression,psychology,wellbeing","1,1,1,1,1,1,1,1","mental health,Health,Life history,NA","0.5,0.25,0.25,0","1,1,1,38",1,"GenR"
"33","128_McKnight Risk Factor Survey (MRFS-III)","body image,physiology,self perception,wellbeing","1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"GenR"
"34","129_Medical history of family","family composition,health,life history,medical history","1,1,1,1","Health,Life history,NA","0.5,0.5,0","1,1,39",1,"GenR"
"35","13_Behaviour Rating Inventory of Executive Function in Preschool Children (BRIEF-P)","attention,behavior,executive functioning,memory,problem solving","1,1,1,1,1","Cognition,Personality and individual differences,NA","0.67,0.33,0","1,1,39",1,"GenR"
"36","130_Medication and vitamin use","health,medication,nutrition,pregnancy,supplements,vitamin","1,1,1,1,1,1","Life history,Health,NA","0.67,0.33,0","1,1,39",1,"GenR"
"37","131_Moral Development/Conscience","conscience,development,empathy,morals,theory of mind","1,1,1,1,1","Personality and individual differences,Social competence,NA","0.67,0.33,0","1,1,39",1,"GenR"
"38","132_Mother and Baby Scale (MABS)","attachment,nutirtion,parent-child relationship,parenting,sleep","1,1,1,1,1","Parenting,NA","1,0","1,39",1,"GenR"
"39","133_Mother-child interaction","attchment,behavior,externalizing behavior,internalizing behavior,observation,parent-child relationship,parenting","1,1,1,1,1,1,1","Parenting,NA","1,0","1,39",1,"GenR"
