"","Instrument_name","Keywords","Keyword_count","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"1","1_15-words_task","cognition,executive functioning,intelligence,language,memory","1,1,1,1,1","Cognition,NA","1,0","1,39",1,"NTR"
"2","10_Autism-Tics, ADHD, and other Comorbidities inventory (A-TAC)","adhd,autism,cognition,developmental psychology,diagnosis,learning disability,mental health,ocd,psychiatry,tics","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"NTR"
"3","100_revised Conners' Parent Rating Scale (CPRS-R)","adhd,aggression,behavior,developmental psychology,diagnosis,education,learning disability,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"NTR"
"4","101_revised Conners' Teacher Rating Scale (CTRS-R)","adhd,aggression,anxiety,behavior,developmental psychology,diagnosis,learning disabilities,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"NTR"
"5","102_Revised Life Orientation Test (LOT-R)","happiness,mental health,personality,psychology,wellbeing","1,1,1,1,1","Personality and individual differences,mental health,NA","0.67,0.33,0","1,1,38",1,"NTR"
"6","103_Revised NEO Five-Factor Inventory (NEO-FFI-R)","agreeableness,conscientiousness,extraversion,introversion,liability,neuroticism,personality,psychology,risk taking,temperament","1,1,1,1,1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"NTR"
"7","104_Rosenberg self-esteem scale","feelings,mental health,personality,psychology,self esteem,wellbeing","1,1,1,1,1,1","Personality and individual differences,mental health,NA","0.67,0.33,0","1,1,38",1,"NTR"
"8","105_saliva","biological sample,biomarkers,hormones,infection,inflammation","1,1,1,1,1","Physiology,Demographics,NA","0.67,0.33,0","1,1,39",1,"NTR"
"9","106_saliva_biomarkers","biological sample,biomarkers,elisa,hormones,laboratory test,saliva","1,1,1,1,1,1","Physiology,Health,NA","0.67,0.33,0","1,1,39",1,"NTR"
"10","107_Satisfaction with Life Scale (SLS)","happiness,mental health,psychology,quality of life,satisfaction,wellbeing","1,1,1,1,1,1","mental health,Personality and individual differences,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,"NTR"
