"","Instrument_name","Keywords","Keyword_count","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"1","1_Absenteeism","truancy,absenteeism,demographics,disability,education,impairment,school,sickness,work","2,1,1,1,1,1,1,1,1","Demographics,Life history,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"2","10_Ages and Stages Questionnaires: Social-Emotional (ASQ:SE)","behavior,development,emotion,emotion regulation,emotional development,milestones,social behavior,social development,temperament","1,1,1,1,1,1,1,1,1","Personality and individual differences,Social competence,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"3","100_Motor activity","accelerometer,activity,development,excercise,motor","1,1,1,1,1","Physiology,Health,Lifestyle,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"4","101_Multidimensional Scale of Perceived Social Support","friendship,relationships,romantic relationships,sibling interactions,social competence,social support","1,1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"5","102_Need for care","emotion regulation,health,medical care,medical services,medication,mental health,problem behavior,psychology,therapy,treatment","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"6","103_Negative Marital Interaction Scale","conflict,interaction,irritation,mariage,romantic relationships,social behavior,social competence","1,1,1,1,1,1,1","Social competence,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"7","104_NEO Five-Factor Inventory (NEO-FFI)","agreeableness,conscientiousness,extraversion,intraversion,neuroticism,personality,risk seeking","1,1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"8","105_NEO Personality Inventory Revised (NEO-PI-R)","agreeableness,extraversion,hostility,impulsivity,intraversion,personality,risk seeking,temperament","1,1,1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"9","106_Nijmeegse Ouderlijke Stress Index Kort (NOSI-K)","abuse,coping,life events,neglect,parenting,stress,trauma","1,1,1,1,1,1,1","mental health,Life history,Parenting,NA","0.5,0.33,0.17,0","1,1,1,38",1,"TRAILS"
"10","107_Noise disturbance","environment,hearing,noise,pollutants,stress","1,1,1,1,1","Demographics,NA","1,0","1,39",1,"TRAILS"
"11","108_Nottingham Health Profile (NHP)","chronotype,health,insomnia,sleep,subjective health","1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"12","109_Observed home environment","demographics,family functioning,home environment,observation","1,1,1,1","Demographics,Parenting,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"13","11_Alcohol Use Disorders Identification Test (AUDIT)","substance use,addiction,alcohol,alcohol abuse,alcohol consumption,drinking,mental health,substance abuse,substance use disorder","2,1,1,1,1,1,1,1,1","Health,mental health,NA","0.5,0.5,0","1,1,38",1,"TRAILS"
"14","110_Pain","backpain,chronic pain,headache,health,migraine,pain","1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"15","111_Parent Behavior Checklist (PBC)","discipline,nurturing,parenting","1,1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"16","112_Parental Cognitions and Conduct Toward the Infant Scale (PACOTIS)","attachement,parent-child relationship,parenting","1,1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"17","113_Parental involvement","parent-child relationship,parenting","1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"18","114_Parental knowledge","parent-child relationships,parenting,peers","1,1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"19","115_Parental overprotection","parent-child relationship,parenting","1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"20","116_Parental religiosity","demographics,religion","1,1","Demographics,NA","1,0","1,39",1,"TRAILS"
"21","117_Parent-child interaction","interactions,observation,parent-child relationship,parenting,play,social behavior,social competence","1,1,1,1,1,1,1","Parenting,Social competence,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"22","118_Parent-child relationship","parent-child relationship,parenting,social behavior,social competence","1,1,1,1","Parenting,Social competence,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"23","119_Parenting Stress Index (PSI)","behavior,coping,mental health,parenting,psychology,stress","1,1,1,1,1,1","mental health,Parenting,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"24","12_ALSPAC positivity/negativity","control,parent-child relationship,parental behaviour,parental support,parenting,support,warmth","1,1,1,1,1,1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"25","120_Partner support","conflict,family functioning,relationships,romantic relationship,support","1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"26","121_Peak flow test","astma,diagnosis,endurance,excercise,experiment,fitness,health,lung capacity,lung function,physiology","1,1,1,1,1,1,1,1,1,1","Physiology,Health,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"27","122_Peer status","bullying,friendships,interactions,peers,prosocial behavior,relationships,social competance,vicitimization","1,1,1,1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"28","123_Perceived stress","coping,life events,mental health,stress,subjective stress","1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"29","124_Perfectionism","identity,obsessive compulsive disorder,perfectionism,self image,self perception","1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"30","125_Physical activity","excercise,health,hobbies,leisure time,life style,physical activity,sport","1,1,1,1,1,1,1","Lifestyle,NA","1,0","1,39",1,"TRAILS"
"31","126_Physical health","accidents,chronic disorders,disability,diseases,handicaps,health,medical care","1,1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"32","127_Physiological stress-reactivity","biomarkers,blood pressure,coping,cortisol,emotion regulation,experiment,heart rate,saliva,social stress,stress","1,1,1,1,1,1,1,1,1,1","Physiology,mental health,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,"TRAILS"
"33","128_Positive and Negative Affect Scale (PANAS)","affect,depression,mental health","1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"34","129_Postpartum Bonding Scale","attachement,birth,depression,family functioning,parent-child relationship,parenting,postnatal depression,pregnancy","1,1,1,1,1,1,1,1","mental health,Parenting,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"35","13_Amsterdam Neuropsychological Tasks (ANT)","cognition,emotion recognition,attention,cognitive control,executive functioning,inhibition,memory,sustained attention","2,2,1,1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"36","130_Pregnancy course","birth,gestational age,life history,pregnancy","1,1,1,1","Health,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"37","131_Pregnancy history","addiction,complications,development,diseases,health,life history,life style,pregnancy,substance use","1,1,1,1,1,1,1,1,1","Life history,Health,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,39",1,"TRAILS"
"38","132_Pregnancy status","abortion,gestational age,health,life history,miscarriages,pregnancy","1,1,1,1,1,1","Life history,Health,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"39","133_Pregnancy stress","anxiety,coping,depression,health,life events,life history,pregnancy,stress,wellbeing","1,1,1,1,1,1,1,1,1","mental health,Life history,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,"TRAILS"
"40","134_Preschool Behaviour List","aggression,anxiety,attention,behavior,depression,development,mental health,motor skills","1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"41","135_Preventive Child Healthcare Services","abortion,health,healthcare,miscarriages,pregnancy","1,1,1,1,1","Health,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
