"","Instrument_name","Keywords","Keyword_count","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"1","1_ADHD symptoms (SWAN) and Gender Identity (GI) questionnaire","adhd,attention,developmental psychology,gender,gender identity,hyperactivity,impulsivity,mental health,personality,psychiatry,psychology,psychopathology,sexuality,social identity","2,1,1,1,1,1,1,1,1,1,1,1,1,1","Personality and individual differences,mental health,Health,self identity,Demographics,gender identity,NA","0.31,0.28,0.2,0.1,0.07,0.03,0","2,2,2,1,1,1,35",2,"YOUth"
"2","10_Buccal","biological sample,biomarkers,buccal,genetics,omics","2,1,1,1,1","Physiology,Health,biological samples,NA","0.75,0.17,0.08,0","2,1,1,38",2,"YOUth"
"3","11_Bullying behavior of/towards the child","bullying,aggression,hostility,mental health,physical aggression,psychology,social environment,verbal aggression,victimization","2,1,1,1,1,1,1,1,1","mental health,Personality and individual differences,Social competence,bullying,Health,social environment,NA","0.25,0.22,0.2,0.15,0.12,0.05,0","1,2,1,1,1,1,36",2,"YOUth"
"4","12_Child Behavior Checklist (CBCL)","adhd,aggression,child behavior,competence,depression,developmental psychology,diagnosis,externalizing behavior,internalizing behavior,mental health,problem behavior,psychiatry,psychology,questionnaire","1,1,1,1,1,1,1,1,1,1,1,1,1,1","mental health,Health,child behavior,problem behavior,Social competence,Personality and individual differences,Life history,Cognition,NA","0.33,0.22,0.12,0.11,0.09,0.07,0.04,0.02,0","1,2,1,1,1,1,1,1,36",2,"YOUth"
"5","13_Child Gap antisaccade","behavioral control,eye tracking,attention,cognition,cognitive control,experiment,gaze,inhibition,self regulation,visual attention","2,2,1,1,1,1,1,1,1,1","Cognition,behavioral control,Personality and individual differences,NA","0.67,0.25,0.08,0","2,1,1,38",2,"YOUth"
"6","14_Child Gap prosaccade","behavioral control,eye tracking,attention,cognition,cognitive control,gaze,inhibition,self regulation,visual attention","2,2,1,1,1,1,1,1,1","Cognition,attention,behavior,Personality and individual differences,NA","0.55,0.2,0.15,0.1,0","2,1,1,1,37",2,"YOUth"
"7","15_Childhood Trauma Questionnaire (CTQ)","abuse,neglect,trauma,accident,childhood trauma,death,emotional trauma,life event,psychology","2,2,2,1,1,1,1,1,1","Life history,mental health,Health,NA","0.58,0.25,0.17,0","2,1,1,38",2,"YOUth"
"8","16_Child's report on parental behavior inventory (CRPBI)","parenting,behavior,dicipline,family relationships,parent-child relationship,parental behavior,parental control","2,1,1,1,1,1,1","Parenting,Social competence,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"9","17_Communicative Development Inventories (N-CDI) - Dutch","language,cognition,communication,development,intelligence,language development,social competence,verbal intelligence,vocabulary","2,1,1,1,1,1,1,1,1","Cognition,language,Social competence,NA","0.67,0.25,0.08,0","2,1,1,38",2,"YOUth"
"10","18_Competentie belevingsschaal - adolescent (CBSA)","personality,self identity,social competence,behavior,body image,emotion,emotion regulation,externalizing behavior,problem behavior,self esteem,self persception,self worth","2,2,2,1,1,1,1,1,1,1,1,1","Personality and individual differences,Social competence,mental health,identity,self perception,NA","0.43,0.2,0.17,0.15,0.05,0","2,1,1,1,1,36",2,"YOUth"
"11","19_Comprehensive Early Childhood Parenting Questionnaire (CECPAQ)","affection,parenting,affiliation,behavior,discipline,early childhood,emotional sensitivity,parent-child interaction,parent-child relationship,parental behavior,parental support,support","2,2,1,1,1,1,1,1,1,1,1,1","Parenting,Personality and individual differences,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"12","2_Adult Self Report (ASR)","adhd,mental health,aggression,anxiety,depression,diagnosis,externalizing behavior,internalizing behavior,psychiatry,psychology,psychopathology","2,2,1,1,1,1,1,1,1,1,1","Health,mental health,Life history,Lifestyle,NA","0.42,0.33,0.17,0.08,0","2,1,1,1,38",2,"YOUth"
"13","20_Cordblood","biological sample,biomarkers,birth,genetics,omics,pregnancy,psysiology","2,1,1,1,1,1,1","Physiology,biological samples,NA","0.83,0.17,0","2,1,38",2,"YOUth"
"14","21_Cyberball","prosocial behavior,social competence,social exclusion,cognition,empathy,emphathy,experiment,social cognition,social environment","2,2,2,1,1,1,1,1,1","Social competence,Cognition,Personality and individual differences,NA","0.38,0.33,0.29,0","2,2,2,39",2,"YOUth"
"15","22_Daily care","parenting,child care,daily care,demographics,lifestyle,parental behavior","2,1,1,1,1,1","Parenting,Demographics,Life history,Lifestyle,NA","0.33,0.25,0.25,0.17,0","1,1,1,1,39",2,"YOUth"
"16","23_Demographics","demographics,education,religion,age,ethnicity,family,family composition,household,income,language,lifestyle,ses,sex,social economic status","2,2,2,1,1,1,1,1,1,1,1,1,1,1","Demographics,Life history,Lifestyle,NA","0.75,0.17,0.08,0","2,1,1,39",2,"YOUth"
"17","24_Diffusion Tensor Imaging (DTI)","mri,brain connectivity,brain development,brain imaging,brain scanning,dti,functional imaging,imaging,physiology,white matter","2,1,1,1,1,1,1,1,1,1","Physiology,NA","1,0","2,39",2,"YOUth"
"18","25_Discount (Delay Gratification)","inhibition,behavioral control,cognition,cognitive control,delay gratification,experiment,self control,self regulation","2,1,1,1,1,1,1,1","Personality and individual differences,Cognition,behavioral control,self regulation,NA","0.4,0.35,0.2,0.05,0","2,2,1,1,37",2,"YOUth"
"19","26_Early adolescent temperament questionnaire - revised (EATQ-R)","self regulation,temperament,attention,emotion regulation,impulsivitiy,inhibition,personality,phobias,reward seeking,reward sensitivity","2,2,1,1,1,1,1,1,1,1","Personality and individual differences,self regulation,Cognition,NA","0.75,0.17,0.08,0","2,1,1,38",2,"YOUth"
"20","27_Echo/3D Ultrasound","imaging,pregnancy,3d ultrasound,brain development,echo,fetal brain development,fetal development,gestational age,neurosonography,physiology,ultrasound","2,2,1,1,1,1,1,1,1,1,1","Physiology,Health,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"21","28_Edinburgh Postnatal Depression Scale (EPDS)","depression,postnatal depression,pregnancy,birth,diagnosis,mental health,postpartum depression,psychiatry,psychology,psychopathology,symptoms","2,2,2,1,1,1,1,1,1,1,1","mental health,Health,pregnancy,Life history,psychopathology,NA","0.35,0.32,0.15,0.12,0.05,0","2,2,1,1,1,35",2,"YOUth"
"22","29_EEG coherence","brain development,eeg,brain connectivity,brain imaging,connectivity,connectome,functional imaging,imaging,infant","2,2,1,1,1,1,1,1,1","Physiology,brain functioning,NA","0.83,0.17,0","2,1,38",2,"YOUth"
"23","3_Ages and Stages Questionnaire - Social Emotional (ASQ-SE)","personality,development,emotion,emotional development,empathy,milestones,social behavior,social development,temperament,theory of mind","2,1,1,1,1,1,1,1,1,1","Social competence,Personality and individual differences,development,Health,NA","0.42,0.33,0.17,0.08,0","2,1,1,1,38",2,"YOUth"
"24","30_EEG Face Emotion","eeg,emotion recognition,brain development,emotion,experiment,face perception,face processing,imaging,social behavior","2,2,1,1,1,1,1,1,1","Physiology,Social competence,Cognition,neurocognitive development,NA","0.45,0.28,0.22,0.05,0","2,2,2,1,38",2,"YOUth"
"25","31_EEG Face House","eeg,brain development,brain imaging,face processing,imaging,infant,object processing,social attention","2,1,1,1,1,1,1,1","Physiology,Cognition,neurocognitive development,Social competence,NA","0.5,0.21,0.17,0.12,0","2,2,1,1,38",2,"YOUth"
"26","32_Family illness","health,medical history,disease,disorders,hereditary","2,2,1,1,1","Health,Life history,medical history,NA","0.58,0.25,0.17,0","2,2,1,38",2,"YOUth"
"27","33_Family illness - medical","health,medical history,diseases,disorders,hereditary","2,2,1,1,1","Health,Life history,NA","0.67,0.33,0","2,2,39",2,"YOUth"
"28","34_Family illness - psychiatric","health,medical history,mental health,diagnosis,heredity,psychiatric disorders,psychiatry,psychology,psychopathology,treatment","2,2,2,1,1,1,1,1,1,1","Health,Life history,mental health,medical history,NA","0.33,0.25,0.25,0.17,0","2,2,1,1,37",2,"YOUth"
"29","35_Food Frequency Questionnaire (FFQ) - Pregnancy","nutrition,pregnancy,diet,food,food preference,lifestyle,nutriants,supplements","2,2,1,1,1,1,1,1","Lifestyle,Health,Personality and individual differences,NA","0.42,0.33,0.25,0","2,1,1,39",2,"YOUth"
"30","36_Food Frequency Questionnaire (FFQ) - Youth","nutrition,supplements,diet,food,food preference,health,lifestyle","2,2,1,1,1,1,1","Lifestyle,Health,Personality and individual differences,NA","0.42,0.33,0.25,0","2,1,1,39",2,"YOUth"
"31","37_Functional MRI Inhibition experiment","inhibition,behavioral control,brain development,brain imaging,cognitive control,fmri,functional brain imaging,imaging,impulsivity,mri,self regulation","2,1,1,1,1,1,1,1,1,1,1","Cognition,Physiology,behavioral control,self regulation,cognitive control,NA","0.47,0.33,0.1,0.07,0.03,0","2,2,1,1,1,36",2,"YOUth"
"32","38_General health","health,allergies,diseases,disorders,medical,medical care,mental health,surgery,vaccinations","2,1,1,1,1,1,1,1,1","Health,NA","1,0","2,39",2,"YOUth"
"33","39_Hair","biological sample,hair,biomarkers,hormones,physiology","2,2,1,1,1","Physiology,biological samples,Health,NA","0.67,0.25,0.08,0","2,1,1,38",2,"YOUth"
