"","Instrument_name","Keywords","Keyword_count","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"1","Absenteeism","truancy,absenteeism,demographics,disability,education,impairment,school,sickness,work","2,1,1,1,1,1,1,1,1","Demographics,Life history,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"2","Ages and Stages Questionnaires: Social-Emotional (ASQ:SE)","behavior,development,emotion,emotion regulation,emotional development,milestones,social behavior,social development,temperament","1,1,1,1,1,1,1,1,1","Personality and individual differences,Social competence,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"3","Motor activity","accelerometer,activity,development,excercise,motor","1,1,1,1,1","Physiology,Health,Lifestyle,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"4","Multidimensional Scale of Perceived Social Support","friendship,relationships,romantic relationships,sibling interactions,social competence,social support","1,1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"5","Need for care","emotion regulation,health,medical care,medical services,medication,mental health,problem behavior,psychology,therapy,treatment","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"6","Negative Marital Interaction Scale","conflict,interaction,irritation,mariage,romantic relationships,social behavior,social competence","1,1,1,1,1,1,1","Social competence,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"7","NEO Five-Factor Inventory (NEO-FFI)","agreeableness,conscientiousness,extraversion,intraversion,neuroticism,personality,risk seeking","1,1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"8","NEO Personality Inventory Revised (NEO-PI-R)","agreeableness,extraversion,hostility,impulsivity,intraversion,personality,risk seeking,temperament","1,1,1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"9","Nijmeegse Ouderlijke Stress Index Kort (NOSI-K)","abuse,coping,life events,neglect,parenting,stress,trauma","1,1,1,1,1,1,1","mental health,Life history,Parenting,NA","0.5,0.33,0.17,0","1,1,1,38",1,"TRAILS"
"10","Noise disturbance","environment,hearing,noise,pollutants,stress","1,1,1,1,1","Demographics,NA","1,0","1,39",1,"TRAILS"
"11","Nottingham Health Profile (NHP)","chronotype,health,insomnia,sleep,subjective health","1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"12","Observed home environment","demographics,family functioning,home environment,observation","1,1,1,1","Demographics,Parenting,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"13","Alcohol Use Disorders Identification Test (AUDIT)","substance use,addiction,alcohol,alcohol abuse,alcohol consumption,drinking,mental health,substance abuse,substance use disorder","2,1,1,1,1,1,1,1,1","Health,mental health,NA","0.5,0.5,0","1,1,38",1,"TRAILS"
"14","Pain","backpain,chronic pain,headache,health,migraine,pain","1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"15","Parent Behavior Checklist (PBC)","discipline,nurturing,parenting","1,1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"16","Parental Cognitions and Conduct Toward the Infant Scale (PACOTIS)","attachement,parent-child relationship,parenting","1,1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"17","Parental involvement","parent-child relationship,parenting","1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"18","Parental knowledge","parent-child relationships,parenting,peers","1,1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"19","Parental overprotection","parent-child relationship,parenting","1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
