"","Cohort","Instrument_name","Assessed","Keywords_survey","Keyword_count_survey","Keywords_pilot","Keyword_count_pilot","Categories_survey","Priority_scores_survey","Times_mentioned_survey","Respondents_survey","Categories_pilot","Priority_scores_pilot","Times_mentioned_pilot","Respondents_pilot","Keyword_respondents_survey"
"1","GenR","Abbreviated Parent Report Children’s Abilities (PARCA)","both","","","cognition,child development,non-verbal intelligence","2,1,1","NA","NaN","192",0,"Cognition,Personality and individual differences,development,NA","0.83,0.17,0,0","2,1,1,38",2,0
"2","GenR","Abdominal fat","both","","","obesity,antropometrics,bmi,body composition,fat,physiology","2,1,1,1,1,1","Physical health,Lifestyle,NA","0.67,0.33,0","1,1,192",1,"Physiology,Health,medical history,NA","0.5,0.49,0.01,0","1,1,1,38",2,1
"3","GenR","Accidents","both","accidents,injuries","1,1","accidents,health,hospitalization,life events,medical history,trauma","1,1,1,1,1,1","Physical health,NA","1,0","1,192",1,"Life history,Health,medical history,NA","0.5,0.25,0.25,0","2,1,1,38",2,1
"4","GenR","Actigraphy","both","","","sleep,accelerometer,ambulatory monitoring,insomnia","2,1,1,1","NA","NaN","192",0,"Physiology,Health,sleep,NA","0.5,0.38,0.12,0","1,1,1,38",2,0
"5","GenR","Adapted children’s sleep habits questionnaire – sleep self report","both","sleep,sleep duration,sleep habits","1,1,1","sleep,insomnia,nocturnal enuresis","2,1,1","Life history,Physical health,Mental health,NA","0.5,0.33,0.17,0","1,1,1,192",1,"Personality and individual differences,mental health,Health,NA","0.4,0.4,0.2,0","1,1,1,38",1,1
"6","GenR","Air pollution and  road traffic noise","survey","air pollution,environmental exposure","1,1",NA,NA,"Demographics,NA","1,0","1,192",1,NA,NA,NA,NA,1
"7","GenR","Air pollution exposure","pilot",NA,NA,"environment,pollution,air quality,noise,urbanization","2,2,1,1,1",NA,NA,NA,NA,"Demographics,Life history,NA","0.67,0.33,0","1,1,39",1,NA
"8","GenR","Alabama Parenting Questionnaire","both","discipline,involvement,parenting,positive parenting,punishment,rearing,supervision","1,1,1,1,1,1,1","parenting,affect,corporal punsihment,discipline,involvement,supervision","2,1,1,1,1,1","Parenting,NA","1,0","1,192",1,"Parenting,NA","1,0","1,39",1,1
"9","GenR","Anxiety/depression","pilot",NA,NA,"anxiety,covid,depression,diagnosis,life event,psychiatry,psychology","1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"10","GenR","Arc’s self-determination scale","both","","","independence,personality,self determination,self perception","1,1,1,1","NA","NaN","192",0,"Personality and individual differences,Life history,NA","0.67,0.33,0","1,1,39",1,0
