"","Cohort","Instrument_name","Assessed","Keywords_survey","Keyword_count_survey","Keywords_pilot","Keyword_count_pilot","Categories_survey","Priority_scores_survey","Times_mentioned_survey","Respondents_survey","Categories_pilot","Priority_scores_pilot","Times_mentioned_pilot","Respondents_pilot","Keyword_respondents_survey"
"1","NTR","15-words task","survey","","",NA,NA,"NA","NaN","192",0,NA,NA,NA,NA,0
"2","NTR","15-words_task","pilot",NA,NA,"cognition,executive functioning,intelligence,language,memory","1,1,1,1,1",NA,NA,NA,NA,"Cognition,NA","1,0","1,39",1,NA
"3","NTR","Aandachttekort Stoornis met Hyperactiviteit (ASH)","both","","","adhd,developmental psychology,diagnosis,mental health,psychiatry","1,1,1,1,1","NA","NaN","192",0,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,0
"4","NTR","ACTION - Vitamin","survey","","",NA,NA,"NA","NaN","192",0,NA,NA,NA,NA,0
"5","NTR","ACTION_Vitamin","pilot",NA,NA,"health,metabolism,supplementation","1,1,1",NA,NA,NA,NA,"Health,Lifestyle,Life history,NA","0.4,0.4,0.2,0","1,1,1,39",1,NA
"6","NTR","Activation-Deactivation Adjective Checklist (ADACL)","both","","","cognition,excercise,feelings,mental health","1,1,1,1","NA","NaN","192",0,"mental health,Personality and individual differences,NA","0.67,0.33,0","1,1,38",1,0
"7","NTR","Adult Self Report (ASR)","both","","","adhd,aggression,antisocial behavior,anxiety,depression,diagnosis,mental health,obsessive compulsive disorder,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,0
"8","NTR","Amsterdam Neuropsychological Tasks (ANT)","both","","","attention,cognition,executive functioning,inhibition,memory,self-control","1,1,1,1,1,1","NA","NaN","192",0,"Cognition,NA","1,0","1,39",1,0
"9","NTR","Anthropometry","both","","","anthropometry,health,obesity","1,1,1","NA","NaN","192",0,"Physiology,Health,NA","0.67,0.33,0","1,1,39",1,0
"10","NTR","Apgar","both","early life,perinatal","1,1","birth,cardiovasculair,development,emergency care,health,muscle","1,1,1,1,1,1","Physical health,NA","1,0","1,192",1,"Health,Physiology,Life history,NA","0.5,0.33,0.17,0","1,1,1,39",1,1
"11","NTR","Attention Problem (AP) items of the Child Behavior Checklist (CBCL)","both","","","adhd,attention,developmental psychology,diagnosis,hyperactivity,impulsivity,psychiatry","1,1,1,1,1,1,1","NA","NaN","192",0,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,0
"12","NTR","Autism-Tics, ADHD, and other Comorbidities inventory (A-TAC)","both","","","adhd,autism,cognition,developmental psychology,diagnosis,learning disability,mental health,ocd,psychiatry,tics","1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,0
"13","NTR","Balance Error Scoring System (BESS)","both","","","balance,excercise,motor development,motor function","1,1,1,1","NA","NaN","192",0,"Physiology,Lifestyle,Health,NA","0.5,0.33,0.17,0","1,1,1,39",1,0
"14","NTR","Binge Eating","survey","","",NA,NA,"NA","NaN","192",0,NA,NA,NA,NA,0
"15","NTR","Binge_Eating","pilot",NA,NA,"anxiety,binge eating,bulimia,depression,eating disorder,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,Life history,Lifestyle,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,38",1,NA
"16","NTR","Birth Questions","survey","","",NA,NA,"NA","NaN","192",0,NA,NA,NA,NA,0
"17","NTR","Birth_Questions","pilot",NA,NA,"birth,c-section,health,labor,natural birth,type of twin","1,1,1,1,1,1",NA,NA,NA,NA,"Life history,Health,NA","0.67,0.33,0","1,1,39",1,NA
