"","Cohort","Instrument_name","Assessed","Keywords_survey","Keyword_count_survey","Keywords_pilot","Keyword_count_pilot","Categories_survey","Priority_scores_survey","Times_mentioned_survey","Respondents_survey","Categories_pilot","Priority_scores_pilot","Times_mentioned_pilot","Respondents_pilot","Keyword_respondents_survey"
"1","RADAR","Acculturation Scale (AC)","both","acculturation,cultural minorities,cultural processes,culture,identity","1,1,1,1,1","acculturation,attachment,belonging,cultural / ethnic identity,culture,identity,immigration","1,1,1,1,1,1,1","Social cognition and behavior,Social and emotional development,NA","0.67,0.33,0","1,1,192",1,"identity ? (really not sure where to put it),Personality and individual differences,Life history,NA","0.5,0.25,0.25,0","1,1,1,38",2,2
"2","RADAR","Adult Self-Report (ASR)","both","","","adhd,aggression,anxiety,depression,diagnosis,externalizing behavior,internalizing and externalizing symptoms,internalizing behavior,mental health,obsessive compulsive disorder,psychiatry,psychology,psychopathology,well-being","1,1,1,1,1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Health,mental health,NA","0.67,0.33,0","2,1,38",2,0
"3","RADAR","Adult Temperament Questionnaire - Effortful Control (AT)","both",",personality; temperament,self-control,self-regulation","1,1,1,1","temperament,emotion regulation,impulsivity,inhibition,personality,self-regulation,self control","2,1,1,1,1,1,1","Personality,Social and emotional development,NA","0.83,0.17,0","2,1,192",2,"Personality and individual differences,NA","1,0","2,39",2,2
"4","RADAR","Ages and Stages Questionnaire - Social-Emotional (ASQ-SE)","survey",",developmental tasks,milestones,socio-emotional development","1,1,1,1",NA,NA,"Social and emotional development,Social cognition and behavior,Personality,NA","0.7,0.2,0.1,0","2,1,1,192",2,NA,NA,NA,NA,2
"5","RADAR","Ages and Stages Social-Emotional (ASQ-SE)","pilot",NA,NA,"child development,developmental delays,emotional intelligence,interpersonal relationships,personality,social competence,social skills,temperament","1,1,1,1,1,1,1,1",NA,NA,NA,NA,"Personality and individual differences,Social competence,Health,NA","0.5,0.33,0.17,0","1,1,1,39",2,NA
"6","RADAR","Antisocial Process Screening Device (AP)","both","","","antisocial behavior,psychopathy,aggression,callousness,mental health,psychiatry,psychology,psychopathology","2,2,1,1,1,1,1,1","NA","NaN","192",0,"Health,mental health,Social competence,Personality and individual differences,NA","0.46,0.25,0.17,0.12,0","2,1,1,1,38",2,0
"7","RADAR","Balanced Relatedness (BR)","both","autonomy support; parenting; friendship quality; marital quality (etc,depends in which relationship it is assessed)","1,1","interpersonal relationships,parenting,relationship quality,social competence","1,1,1,1","relationship quality,autonomy support,Parenting,NA","0.5,0.33,0.17,0","1,1,1,190",1,"Social competence,Parenting,NA","0.83,0.17,0","2,1,39",2,1
"8","RADAR","Behavioral Inhibition Scale/Behavioral Activation Scale (BIS/BAS)","both",",personality,social relationships,temperament,temperament; personality","1,1,1,1,1","personality,temperament,inhibition,motivation","2,2,1,1","Personality,Social cognition and behavior,NA","0.83,0.17,0","2,1,192",2,"Personality and individual differences,NA","1,0","2,39",2,2
"9","RADAR","Big Five (BF)","both","","","temperament,agreeableness,conscientiousness,emotional stability,extraversion,introversion,personality,personality traits,risk seeking","2,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Personality and individual differences,NA","1,0","2,39",2,0
"10","RADAR","CHAOS Questionnaire","both","chaos,family climate,family organization,home environment,household characteristics,noise,structure","1,1,1,1,1,1,1","choas,cleaning,environment,family,hoarding,home environment,structure","1,1,1,1,1,1,1","household characteristics,home environment,Parenting,NA","0.5,0.33,0.17,0","1,1,1,190",2,"Parenting,Lifestyle,Demographics,Life history,NA","0.42,0.25,0.17,0.17,0","2,1,1,1,39",2,2
"11","RADAR","Child Behavior Checklist (CBCL)","both","","","adhd,aggression,anxiety,child adjustment,child problem behavior,conduct disorder,depression,developmental psychology,diagnosis,disruptive child behavior,internalizing and externalizing symptoms,oppositional defiant disorder,psychiatry,psychology,psychopathology,well-being","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Health,mental health,Personality and individual differences,NA","0.5,0.33,0.17,0","2,1,1,38",2,0
"12","RADAR","Child depression","pilot",NA,NA,"depression,developmental psychology,diagnosis,emotional liability,internalizing symptoms,mental health,psychiatry,psychology,psychopathology,well-being","2,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"Health,mental health,NA","0.67,0.33,0","2,1,38",2,NA
"13","RADAR","Childhood Trauma Questionnaire (CTQ)","both","","","abuse,child abuse,childhood trauma,emotional abuse,emotional neglect,environment,mental health,neglect,physical abuse,physical neglect,psychology,psychopathology,ptsd,sexual abuse,trauma","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Life history,Health,mental health,NA","0.58,0.25,0.17,0","2,2,1,38",2,0
"14","RADAR","Children's Depression Inventory (CDI)","survey","","",NA,NA,"NA","NaN","192",0,NA,NA,NA,NA,0
"15","RADAR","Children's Report of Parental Behavior Inventory (CRPBI)","both","parent-child relationship,parenting behavior","1,1","parenting,behavior,parent-child relationship,parental behaviors,psychological controls","2,1,1,1,1","Parenting,NA","1,0","1,192",1,"Parenting,NA","1,0","2,39",2,1
"16","RADAR","Children / pregnancy","pilot",NA,NA,"birth,demographics,family composition,family structure,pregnancy","1,1,1,1,1",NA,NA,NA,NA,"Demographics,Life history,Health,NA","0.67,0.25,0.08,0","2,1,1,39",2,NA
"17","RADAR","Class","pilot",NA,NA,"class,demographics,education,grade,school","1,1,1,1,1",NA,NA,NA,NA,"Demographics,Life history,NA","0.83,0.17,0","2,1,39",2,NA
"18","RADAR","Comprehensive Early Childhood Parenting Questionnaire (CECPAQ)","both","","","parenting,discipline,parent-child relationship,psychology","2,1,1,1","NA","NaN","192",0,"Parenting,NA","1,0","2,39",2,0
