"","Cohort","Instrument_name","Assessed","Keywords_survey","Keyword_count_survey","Keywords_pilot","Keyword_count_pilot","Categories_survey","Priority_scores_survey","Times_mentioned_survey","Respondents_survey","Categories_pilot","Priority_scores_pilot","Times_mentioned_pilot","Respondents_pilot","Keyword_respondents_survey"
"1","TRAILS","Absenteeism","both","school absenteeism,sickness leave,work absenteeism","1,1,1","truancy,absenteeism,demographics,disability,education,impairment,school,sickness,work","2,1,1,1,1,1,1,1,1","work,school,Demographics,NA","0.4,0.4,0.2,0","1,1,1,190",1,"Demographics,Life history,NA","0.67,0.33,0","1,1,39",1,1
"2","TRAILS","Achievement Goals and Beliefs about Success in Sport","both","","","goal orientation,excercise,motivation,optimism,physical activity,sport","2,1,1,1,1,1","NA","NaN","192",0,"Personality and individual differences,NA","1,0","1,39",1,0
"3","TRAILS","ADHD DSM-IV Questionnaire","both","adhd,attention,dsm,hyperactivity","1,1,1,1","adhd,hyperactivity,attention,diagnosis,externalizing problems,impulsivity,impulstivity,inattention,mental health,psychiatry,psychology","2,2,1,1,1,1,1,1,1,1,1","Social and emotional development,Mental health,NA","0.67,0.33,0","1,1,192",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
"4","TRAILS","Adolescent Cognitive Style Questionnaire (ACSQ)","both","adolescents,cognitive style,depression,vulnerability","1,1,1,1","depression,anxiety,cognitive vulnerability,coping,diagnosis,psychology,stress","2,1,1,1,1,1,1","Personality,Mental health,NA","0.67,0.33,0","1,1,192",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
"5","TRAILS","Adult Behaviour Checklist (ABCL)","pilot",NA,NA,"adhd,aggresion,behavior,depression,diagnosis,dsm,externalizing behavior,externalizing problems,internalizing behavior,internalizing problems,mental health,psychiatric symptoms,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"6","TRAILS","Adult Responses to Children's Symptoms (ARCS)","both","","","health,monitoring,parent-child relationship,parental behaviour,parental support,parenting","1,1,1,1,1,1","NA","NaN","192",0,"Parenting,NA","1,0","1,39",1,0
"7","TRAILS","Adult Self-Report (ASR)","pilot",NA,NA,"adhd,aggression,behavior,depression,diagnosis,externalizing behavior,internalizing behavior,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"8","TRAILS","Adult Temperament Questionnaire (ATQ)","pilot",NA,NA,"personality,temperament,behavior,big five","2,2,1,1",NA,NA,NA,NA,"Personality and individual differences,NA","1,0","1,39",1,NA
"9","TRAILS","Adult’s Social Behavior Questionnaire (ASBQ)","pilot",NA,NA,"asd,autism,behavior,diagnosis,empathy,mental health,psychiatry,psychology,social cognition,social problems,theory of mind","2,1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"10","TRAILS","Ages and Stages Questionnaires: Social-Emotional (ASQ:SE)","both","emotional development,social-emotional development,social development","1,1,1","behavior,development,emotion,emotion regulation,emotional development,milestones,social behavior,social development,temperament","1,1,1,1,1,1,1,1,1","Social and emotional development,NA","1,0","1,192",1,"Personality and individual differences,Social competence,NA","0.67,0.33,0","1,1,39",1,1
"11","TRAILS","Alcohol Use Disorders Identification Test (AUDIT)","both","addiction,alcohol,substance use","1,1,1","substance use,addiction,alcohol,alcohol abuse,alcohol consumption,drinking,mental health,substance abuse,substance use disorder","2,1,1,1,1,1,1,1,1","Mental health,substance use,Lifestyle,NA","0.43,0.43,0.14,0","1,1,1,191",1,"Health,mental health,NA","0.5,0.5,0","1,1,38",1,1
"12","TRAILS","ALSPAC positivity/negativity","both","","","control,parent-child relationship,parental behaviour,parental support,parenting,support,warmth","1,1,1,1,1,1,1","NA","NaN","192",0,"Parenting,NA","1,0","1,39",1,0
"13","TRAILS","Amsterdam Neuropsychological Tasks (ANT)","both","","","cognition,emotion recognition,attention,cognitive control,executive functioning,inhibition,memory,sustained attention","2,2,1,1,1,1,1,1","NA","NaN","192",0,"Cognition,NA","1,0","1,39",1,0
"14","TRAILS","Antisocial Behaviour Questionnaire (ASBQ)","both","antisocial behaviour,delinquency,delinquent behaviour,offending,rule-breaking","1,1,1,1,1","antisocial,antisocial behaviour,apd,behavior,conduct disorder,delinquency,delinquent behaviour,externalizing problems,hostility,mental health,oppositional defiant disorder,psychiatry,psychology,psychopathy,social problems,violence","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","externalizing problems,Mental health,NA","0.67,0.33,0","1,1,191",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
"15","TRAILS","Approach-Avoidance Test (AAT)","both","","","temperament,attachement,cognition,personality,social competence","2,1,1,1,1","NA","NaN","192",0,"Personality and individual differences,NA","1,0","1,39",1,0
"16","TRAILS","Asthma","both","","","asthma,diagnosis,health,lung,physical health","2,1,1,1,1","NA","NaN","192",0,"Health,NA","1,0","1,39",1,0
"17","TRAILS","Baby movements","both","infants,movements","1,1","development,motor control,motor development,motro development","1,1,1,1","physical activity,Physical health,NA","0.67,0.33,0","1,1,191",1,"Physiology,Health,NA","0.67,0.33,0","1,1,39",1,1
"18","TRAILS","Bangor Gambling Task","both","","","cognition,emotion regulation,gambling behaviour,problem solving,reward processing,risk seeking,social cognition","2,1,1,1,1,1,1","NA","NaN","192",0,"Cognition,NA","1,0","1,39",1,0
"19","TRAILS","Beck Anxiety Inventory (BAI)","pilot",NA,NA,"anxiety,depression,diagnosis,dsm,internalizing problems,mental health,phobia,psychiatry,psychology","2,2,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"20","TRAILS","Bio-electrical impedance","both","","","antropometrics,bmi,body characteristics,body fat,fat,muscle,muscle mass,obesity,physical health,physiology","1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
