"","Cohort","Instrument_name","Assessed","Keywords_survey","Keyword_count_survey","Keywords_pilot","Keyword_count_pilot","Categories_survey","Priority_scores_survey","Times_mentioned_survey","Respondents_survey","Categories_pilot","Priority_scores_pilot","Times_mentioned_pilot","Respondents_pilot","Keyword_respondents_survey"
"1","YOUth","ADHD symptoms (SWAN) and Gender Identity (GI) questionnaire","pilot",NA,NA,"adhd,attention,developmental psychology,gender,gender identity,hyperactivity,impulsivity,mental health,personality,psychiatry,psychology,psychopathology,sexuality,social identity","2,1,1,1,1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"Personality and individual differences,mental health,Health,self identity,Demographics,gender identity,NA","0.31,0.28,0.2,0.1,0.07,0.03,0","2,2,2,1,1,1,35",2,NA
"2","YOUth","ADHD symptoms (SWAN) questionnaire","survey","adhd,attention deficit disorder,behavioral control,developmental psychopathology,hyperactivity,mental health,psychiatric symptoms,psychiatry,psychopathology,questionnaire","2,1,1,1,1,1,1,1,1,1",NA,NA,"Mental health,Social and emotional development,developmental disorder,questionnaire,NA","0.67,0.11,0.11,0.11,0","3,1,1,1,190",3,NA,NA,NA,NA,3
"3","YOUth","Adult Self Report (ASR)","both","psychopathology,adults,mental health","2,1,1","adhd,mental health,aggression,anxiety,depression,diagnosis,externalizing behavior,internalizing behavior,psychiatry,psychology,psychopathology","2,2,1,1,1,1,1,1,1,1,1","Mental health,Personality,adulthood,Social and emotional development,questionnaire,NA","0.5,0.17,0.17,0.08,0.08,0","2,1,1,1,1,190",2,"Health,mental health,Life history,Lifestyle,NA","0.42,0.33,0.17,0.08,0","2,1,1,1,38",2,2
"4","YOUth","Ages and Stages Questionnaire - Social Emotional (ASQ-SE)","both","childhood,social-emotional development,social and emotional development","1,1,1","personality,development,emotion,emotional development,empathy,milestones,social behavior,social development,temperament,theory of mind","2,1,1,1,1,1,1,1,1,1","Social and emotional development,childhood,questionnaire,NA","0.75,0.17,0.08,0","2,1,1,190",2,"Social competence,Personality and individual differences,development,Health,NA","0.42,0.33,0.17,0.08,0","2,1,1,1,38",2,2
"5","YOUth","Alabama Parenting Questionnaire (APQ)","both","parenting,discipline,parental involvement,questionnaire","2,1,1,1","parenting,discipline,involvement,monitoring,parent-child relationship,parental control,parenting style","2,1,1,1,1,1,1","Parenting,NA","1,0","3,192",3,"Parenting,Lifestyle,NA","0.83,0.17,0","2,1,39",2,2
"6","YOUth","Anatomy experiment (MRI)","both","brain development,mri,anatomy,brain,brain anatomy,brain structure,imaging,morphology,neural development,neuroimaging,smri,strucutral mri","2,2,1,1,1,1,1,1,1,1,1,1","anatomy,mri,body composition,brain development,brain scanning,imaging,physiology,structural imaging","2,2,1,1,1,1,1,1","Physiology,neuroimaging,brain development,Physical health,Mental health,NA","0.39,0.33,0.11,0.08,0.08,0","2,1,1,1,1,190",3,"Physiology,Health,NA","0.83,0.17,0","2,1,39",2,3
"7","YOUth","Behavior Questionnaire (IBQ-R SF, ECBQ, CBQ, TMCQ)","both","temperament,behavior,child,control,coping,emotion regulation,emotions,personality,questionnaire,self-regulation","2,1,1,1,1,1,1,1,1,1","behavioral control,emotion regulation,temperament,behavior,child behavior,mental health,personality,psychology","2,2,2,1,1,1,1,1","Social and emotional development,self-regulation,Personality,NA","0.5,0.33,0.17,0","2,1,1,191",2,"Personality and individual differences,Social competence,NA","0.83,0.17,0","2,1,39",2,2
"8","YOUth","Behavioral inhibition scale (BIS) and risk behavior (substance (ab)use)","both","inhibition,risk behavior,self control,behavioral control,impulsivity,substance abuse,behavioural development,behavioural inhibition,bis,cognitive control,effortful control,frontal lobe,nervousness,peers. adolescent,personality,puberty,questionnaire,risk taking behaviour","3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1","impulsivity,inhibition,self control,substance abuse,addiction,behavior,behavioral control,cognitive control,lifestyle,personality,risk behavior,risk seeking,risky behavior,self regulation,substance use","2,2,2,2,1,1,1,1,1,1,1,1,1,1,1","Personality,Mental health,Social cognition and behavior,Social and emotional development,Cognition,Lifestyle,self control,NA","0.35,0.21,0.12,0.12,0.08,0.06,0.04,0","4,2,2,2,1,1,1,191",4,"Personality and individual differences,Lifestyle,Cognition,behavioral control,temperament,self regulation,NA","0.48,0.19,0.12,0.1,0.07,0.05,0","2,2,1,1,1,1,36",2,4
"9","YOUth","Blood","both","dna,,biological material,biological measures,biological sample,biomedical material,blood,epigenetics,genetics,hereditary,hormones,venipuncture","2,1,1,1,1,1,1,1,1,1,1,1","biological sample,biomarkers,blood,genetics,omics,physiology,venapuncture","2,1,1,1,1,1,1","Physiology,Physical health,Lifestyle,NA","0.83,0.11,0.06,0","3,1,1,192",3,"Physiology,biological samples,NA","0.83,0.17,0","2,1,38",2,2
"10","YOUth","Brief Symptom Inventory (BSI)","both","health,medical,mental health,psychopathology,symptoms,wellbeing","1,1,1,1,1,1","health,symptoms,depression,diseases,medical care,medical history,psychopathology","2,2,1,1,1,1,1","Mental health,Physical health,Social and emotional development,questionnaire,NA","0.61,0.17,0.11,0.11,0","3,1,1,1,191",3,"Health,Personality and individual differences,mental health,Life history,NA","0.7,0.15,0.1,0.05,0","2,1,1,1,38",2,2
