Instrument_nr;Instrument_name;Instrument_description
1;Adolescent Social Connections and Coping during COVID-19 Questionnaire - Social connections and Prosocial Behavior;Questionnaire about children's social connections and prosocial behavior during the COVID-19 pandemic
2;Alabama Parenting Questionnaire;The Alabama Parenting Questionnaire measures five dimensions of parenting that are relevant to the etiology and treatment of child externalizing problems: (1) positive involvement with children, (2) supervision and monitoring, (3) use of positive discipline techniques, (4) consistency in the use of such discipline and (5) use of corporal punishment.
3;Attachment Script Assessment;Task in which the participant gets a list of words with which they have to create a coherent story
4;Behavioral Inhibition and Activation System;The Behavioral Inhibition and Activation System consists of 24 items with 3 BAS-related subscales (BAS Drive, BAS Fun seeking, BAS Reward Responsiveness) and one BIS-related subscale.
5;Brief Symptom Inventory;The Brief Symptom Inventory (BSI) consists of 53 items. Within L-CID, 21 items are used on Interpersonal sensitivity, Depression, Anxiety and Hostility
6;Buitenschoolse activiteiten (out of school activities);The Out of school activities questionnaire consists of items about out-of-school activities of the children, e.g, dance, music, sports. It asks about type, frequency and duration
7;Cheating - Ball throwing;Task where the child gets the opportunity to cheat while throwing a ball
8;Cheating - Dog task;Task where the child gets the opportunity to cheat
9;Cheating - Word puzzle;Task where the child gets the opportunity to cheat when making a word puzzle
10;Children's Behavior Questionnaire - Discomfort, Fear, Perceptual sensitivity;The Children’s Behavior Questionnaire consists of 195 items and 18 subscales. 12 items from the Discomfort subscale (how quickly is the child uncomfortable), 12 from the Fear subscale (how fearful is the child) and 12 from the Perceptual Sensitivity (how sensitive to external stimuli is the child) subscale are used
11;Children's Behavior Questionnaire - Effortful control;The Children’s Behavior Questionnaire consists of 18 subscales. The Effortful Control subscale consists of items about Attentional Focusing and Inhibitory control of the child
12;Competentiebelevingsschaal voor Adolescenten;Social wellbeing questionnaire where the child judges their own social competence in terms of social acceptance, tight friendships, and feelings of self-worth
13;Confusion, Hubbub and Order Scale;The Confusion, Hubbub and Order Scale consists of items about chaos within the house (e.g., the house is a mess, noise levels, busy lives, etc.)
14;COVID-19 Open Questions;Open questions about the COVID-19 situation
15;Dictator Game;Task where the child can determine who receives how much money
16;Dutch Reactive and Proactive aggression Questionnaire;The Dutch Reactive Proactive Aggression Questionnaire consists of 23 items about Proactive and Reactive aggressive behavior of the child
17;Early Adolescent Temperament Questionnaire - Discomfort, Fear, Perceptual sensitivity;The Temperament in Middle Childhood Questionnaire consists of 42 items. Within L-CID, 27 items are used from the Discomfort (how quickly is the child uncomfortable), Fear (how fearful is the child) and Perceptual Sensitivity (how sensitive to external stimuli is the child) subscales.
18;Early Adolescent Temperament Questionnaire - Effortful control;The Early Adolescent Temperament Questionnaire consists of 36 items divided over 4 subscales: Discomfort, Perceptual Sensitivity, Fear, and Effortful Control. The Effortful control subscale consists of items about Attentional Control and Inhibitory Control of the child
