Instrument_nr;Instrument_name;Instrument_description
1;Abbreviated Parent Report Children’s Abilities (PARCA) ;Questionnaire about non-verbal cognition
2;Abdominal fat;
3;Accidents;Questionnaire about accidents, wouds and their treatment
4;Actigraphy ;Meaurment of sleep parameters
5;Adapted children’s sleep habits questionnaire – sleep self report;Questionnaire about sleep habits. Adapted version of Children’s Sleep Habits Questionnaire 
6;Air pollution exposure;Measurment of road traffic noise
7;Alabama Parenting Questionnaire;Questioneir about involvement, positive parenting, parental supervision, inconsistent discipline and corporal punishment.
8;Anxiety/depression ;Questionnaire about anxiety and depressive symptoms . LIfelines Covid questionnaire
9;Arc’s self-determination scale;Questionnaire about the child's does things for himself, like cooking or move around the city. Mother rated at child age 17 years
10;Arterial stiffness;
11;Autism-spectrum quotient (AQ-short);Questionnaire about autistic traits 
12;Background information of you and your family ;Questionnaire about birthdate, education and national origin of the parents. Adapted from ICSEY (Vedder, 2004). 
13;Behaviour Rating Inventory of Executive Function in Preschool Children (BRIEF-P);Questionnaire about executive functions
14;Behavioural inhibition and behavioural activation (BIS/BAS).;Questionnaire about behavioural inhibition and behavioural activation.
15;Berkeley Puppet;Interview assessing  bulling, peer acceptance, depression, separation anxiety, overanxious, oppositional defiant, overt hostility and conduct problems.
16;Block Child Rearing Practices Report, abbreviated;Questionnaire about parent child interaction and parenting. 
17;Blood pressure;
18;Blood sample;Biological sample
19;Bone mineral density and related measures;Bone mineral density by peripheral quantitative computed tomography (CT) or dual X energy absorptiometry (DXA) scan. Geometry of the tibia by CT scan and body composition by DXA scan
20;Bones;Questionnaire about bone fractures
21;Borderline Personality Features Scale for Children;Questionnaire about borderline personality
22;Brain structure;Ecograghy postnatal
23;Breastfeeding;Questionnaire about breast and formula feeding, and vitamins medications, cigarrete or drug use. 
24;Brief problem monitor-youth form (BMP-p);A selection of the Youth Self-Report (YSR) items.
25;Brief symptom inventory (BSI);Questionnaire about emotional complaints in the parents.
26;Briefproblem monitor from the youth self report;Questionnaire about the children's behavior and emotions
27;Bullying and Victimization;Questionnaire about victimization and bullying.  Teacher rated at child age 7, adapted from Perren (2006). Mother rated at child age 8, adapted from Alsaker (2000). Child rated at age 13 and 17 years adapted from Perren (2006) and Tippett  (2014). 
28;Cannabis Experiences Questionnaire - Intoxication effects checklist (CEQ-I);Questionnaire about reactions to cannabis/tobacco use.
29;Cardiac and renal structure;Ecography 
30;Cardiac development;Ecography 
31;CBCL 6-18-Competence scales;Questionnaire about activities the child does and how many friend she/he has. Adapted from CBCL 6-18-Competence scales
32;Child Behavior Checklist (CBCL);Questionnaire about empirically based syndromes, internalizing, externalizing, and total problems.  Preschool form CBCL/1½-5 and school form CBCL/6-18
33;Child Behavior Questionnaire (CBQ);Questionnaire about child  temperament (Surgency, negative effect and effortful control). CBQ
34;Child Behaviour Conflicts Scale;Questionnaire about harsh parenting. 
35;Child care;Questioneir about day care, caregiver and father involvement
36;Child caregiving involvement scale;Questionnaire about activities the parent and child undartake. 
37;Child Feeding Questionnaire (CFQ).;Questionnaire about a parental attitudes, beliefs, and practices about child feeding
38;Child Health Questionnaire Parent - CHQ-PF28;Questionnaire about the mother's perception of the child's health. 
39;Child-care attitude and emotional disturbance among mothers of young children;Questionnaire about mother's attitude  towards child care and her emotions. 
40;Childhood trauma questionnaire (CTQ);Questionnaire about abuse and neglect during childhood. 
41;Children’s body image scale;Questionnaire about the perceived and ideal body figure.
42;Children’s Eating Behaviour Questionnaire (CEBQ);Questionnaires about development of the children’s eating behaviour
43;Children’s worry management scale;Questionnaire about children’s age-appropriate worry management. Zeman (2009)
44;Child's health;Multiple questionnaires with ovelapping topics at different ages. Topics relate to general health, age ralated diseases, pain, limitations in activities due to a diseases, trauma and fractures, medical service and medication use, oral health, visits to the dentist. Hearing, sight, neurodepelopment and activities the child does, like playing, watching tv. Questions about sleeping, eating and bowel movements. Pediatric Functional Gastrointestinal Disorders. Child rated quality of life, social position CHQCF87. Adapted from ITQOL, CHES, ISAAC, PIAMA, ALSPAC. CHQ-PF28. COHIP185.
45;Child's perception of neighborhood;Questionnaire about safety, traffic, playing areas. 
46;Compliance and active resistance;Observation about the compliance and active resistance between the mother and child.
