Instrument_nr;Instrument_name;Instrument_description
1;Absenteeism;Questions about the absence from school or work.
2;Achievement Goals and Beliefs about Success in Sport;Assessment of goal orientation, beliefs about success, and sports interest.
3;ADHD DSM-IV Questionnaire ;Assessment of DSM oriented adult ADHD.
4;Adolescent Cognitive Style Questionnaire (ACSQ);Assessment of cognitive vulnerability to depression.
5;Adult Behaviour Checklist (ABCL);Assessment of psychiatric symptoms. Includes anxious/depressed, withdrawn/depressed, aggressive, and delinquent behaviour, somatic complaints, and social, thought, and attention problems during the past six months. Also includes DSM oriented scales.
6;Adult Responses to Children's Symptoms (ARCS);Assessment of parental respons to child's pain. Includes protect, minimize, and encourage/monitor.
7;Adult Self-Report (ASR);Assessment of psychiatric symptoms. Includes anxious/depressed, withdrawn/depressed, aggressive, and delinquent behaviour, somatic complaints, and social, thought, and attention problems during the past six months. Also includes DSM oriented scales.
8;Adult Temperament Questionnaire (ATQ);Assessment of temperament. Only includes attention control.
9;Adult’s Social Behavior Questionnaire (ASBQ);Assessment of autism spectrum problems (VISV). Includes social contact, empathy, social convention, social cognition, stereotyped behaviour, and fear and resistance to change.
10;Ages and Stages Questionnaires: Social-Emotional (ASQ:SE);Assessment of social-emotional development.
11;Alcohol Use Disorders Identification Test (AUDIT);Assessment of harmful alcohol consumption.
12;ALSPAC positivity/negativity;Assessment of parenting. Includes warmth, support, rejection, and control.
13;Amsterdam Neuropsychological Tasks (ANT);Assessment of cognition. Includes focused attention, sustained attention, shifting attention, memory search, face recognition, and identification of facial expressions. Without face recognition and identification of facial expressions at wave four.
14;Antisocial Behaviour Questionnaire (ASBQ);Assessment of antisocial and delinquent behaviour.
15;Approach-Avoidance Test (AAT);Assessment of implicit action tendencies (approach or avoid).
16;Asthma;Questions about asthma.
17;Baby movements;Assessment of baby movements for ten minutes.
18;Bangor Gambling Task;Assessment of emotion-based decision making under uncertainty.
19;Beck Anxiety Inventory (BAI);Assesment of DSM oriented somatic and cognitive anxiety problems.
20;Bio-electrical impedance;Assessment of muscle mass and body fat.
21;Biomarkers;Assessment of blood samples. Includes CRP, creatinine, ASAT, ALAT, cholesterol (HDL and LDL), glucose, insulin, lipoprotein, HbA1c, platelet serotonin, platelet tryptophan, IgE, IgG antibodies (HSV 1 and 2, EBV, human herpes virus 6, toxoplasma gondii, influenza A and B, gliadin, cytomegalovirus, ACTH, and alpha-MSH), and apoliprotein (A1 and B100).
22;BIS/BAS Scale;Assessment of behavioural inhibition (BIS) and behavioural activation (BAS). Includes BAS drive, BAS fun seeking, and BAS reward responsiveness.
23;Body Perception Questionnaire;Questions about perceived body size and body satisfaction.
24;Cannabis Use Problems Identification Test (CUPIT);Assessment of harmful cannabis use.
25;Cardiovascular measures;Assessment of heart rate, heart rate variability, blood pressure, and baroreflex sensitivity. Supine and standing.
26;Care responsibilities;Questions about care responsibilities. Includes child-care, informal care, and division of housework and child-care tasks.
27;Career and family planning;Questions about career and family planning.
28;Caregiver-Teacher Report Form (C-TRF);Assessment of psychiatric symptoms. Includes emotionally reactive, anxious/depressed, somatic complaints, withdrawn, attention problems, and aggressive behaviour. Also includes DSM oriented scales.
29;Child Behaviour Checklist (CBCL/6-18);Assessment of psychiatric symptoms. Includes anxious/depressed, withdrawn/depressed, aggressive, and delinquent behaviour, somatic complaints, and social, thought, and attention problems during the past six months. Also includes DSM oriented scales.
30;Child Behaviour Checklist Preschool (CBCL/1½-5);Assessment of psychiatric symptoms. Includes emotionally reactive, anxious/depressed, somatic complaints, withdrawn, sleep problems, attention problems, and aggressive behaviour. Also includes DSM oriented scales.
31;Childhood Executive Functioning Inventory (CHEXI);Assessment of executive functioning. Includes inhibition, regulation, working memory, and planning.
32;Children’s Behavior Questionnaire (CBQ);Assessment of temperament. Includes activity level, approach, attentional focusing, discomfort, fear, frustration, high intensity pleasure, low intensity pleasure, impulsivity, inhibitory control, perceptual sensitivity, sadness, shyness, soothability, and smiling and laughter. Short version.
33;Children’s Social Behavior Questionnaire (CSBQ);Assessment of autism spectrum problems (VISK). Includes tuning behaviour/emotion to the situation, social contact, social cognition, fear and resistance to change, stereotyped behaviour, and orientation problems in time, place or activity.
34;Chronic conditions;Questions about fibromyalgia, chronic fatigue syndrome, and irritable bowel syndrome.
35;Columbia Impairment Scale (CIS);Assessment of impairment in different domains of daily life. Includes interpersonal relations, broad psychopathological domains, functioning in job or schoolwork, and use of leisure time.
36;Common health problems;Questions about accidents and common health problems.
37;Community Assessment of Psychic Experiences (CAPE);Assessment of psychosis. Includes positive, negative, and depressive symptoms. Short version.
38;Conflict in Adolescent Dating Relationships Inventory (CADRI);Assessment of inter-partner aggression. Includes threatening behaviour, physical abuse, and verbal emotional abuse both from and towards partner.
39;Conflict Tactics Scale;Assessment of family violence. Includes corporal punishment and psychological aggression both from and towards parents.
40;Confusion, Hubbub, and Order Scale (CHAOS);Assessment of home environment. Includes noise, confusion, clutter, hubub, frenetic activities, and disorganization.
41;Copenhagen Psychosocial Questionnaire (COPSOQ);Assessment of job characteristics. Incudes quantitative demands, work pace, decision authority, and possibilities for development. Short version.
42;Cortisol;Assessment of saliva. Includes cortisol levels after waking up, half an hour later, and at eight pm (only at wave one).
43;Danish Psychosocial Questionnaire (DPQ);Assessment of job characteristics. Incudes quantitative demands, work organization, interpersonal relations, conflicts, and work situation. Short version.
44;Depression Anxiety Stress Scale (DASS);Assessment of mental health. Includes depression, anxiety, and stress.
45;Depression Impairment Scale for Parents (DISP);Assessment of disorder-associated impairment. Includes routine tasks/activities and family functioning. Related to the Adult Self-Report (ASR).
46;Derryberry and Reed Task;Assessment of fear and appetitive attentional processes.
47;Developmental history;Questions about perinatal circumstances and complications, timing of developmental stages, toilet-trainedness, and day-care use.
48;Developmental milestones;Reported developmental milestones.
49;Diagnostic Infant and Preschool Assessment (DIPA);Assessment of psychiatric symptoms. Only includes ADHD.
50;Discrimination ;Questions about discrimination regarding race, sex or physical appearance.
51;Disruptive Behavior Diagnostic Observation Schedule (DB-DOS);Assessment of disruptive behaviour. Includes behavioral regulation and anger modulation. Only includes fifteen minutes parent module.
52;DNA;Assessment of genomewide SNP variations, selected length polymorphisms, and polygenic risk scores.
53;Drinking Motive Questionnaire Revised (DMQ-R);Assessment of motivations to consume alcohol.
54;Early Adolescent Temperament Questionnaire Revised (EATQ-R);Assessment of temperament. Includes fearfulness, frustration, shyness, surgency, affiliation, and effortful control. Self-report version also includes perceptual sensitivity and pleasure sensitivity. Selection of (age-appropriate) items at waves four and five.
